id_especimen,longitud_total_mm,longitud_elitro_mm,anchura_max_mm,anchura_pronoto_mm,anchura_cabeza_mm,altura_cuerpo_mm,peso_mg,longitud_antena_mm,num_segmentos_antena,longitud_pata_posterior_mm,longitud_femur_mm,longitud_tibia_mm,longitud_ala_mm,envergadura_mm,num_manchas,diametro_mancha_mm,num_estrias_elitro,distancia_interocular_mm,diametro_ojo_mm,longitud_mandibula_mm,ratio_largo_ancho,ratio_antena_cuerpo,ratio_ala_cuerpo,area_dorsal_mm2,volumen_estimado_mm3,densidad_setas,intensidad_color,especie_invasora
INV003548,10.55,6.63,4.36,4.13,2.31,4.6,52,7.5,6,4.61,2.31,2.7,12.28,28.92,5,1.3,9,1.37,0.89,2.04,2.42,0.711,1.164,35.9,105.8,16,113,0
INV003549,16.42,10.34,5.94,5.45,3.28,5.71,173,6.74,11,12.26,4.76,2.94,12.78,31.5,4,0.36,6,2.34,0.39,0.25,2.76,0.41,0.778,76.1,278.5,11,21,0
INV003550,13.68,8.63,8.25,6.12,4.29,6.91,246,9.19,12,14.63,4.84,4.49,13.3,34.85,11,1.24,12,2.36,1.04,2.61,1.66,0.672,0.972,88.0,389.9,17,142,1
INV003551,8.84,5.4,7.62,4.61,4.01,1.45,76,4.78,9,9.48,3.54,4.51,12.87,33.36,3,0.92,10,1.12,0.84,2.15,1.16,0.541,1.456,52.5,48.8,13,132,0
INV003552,15.87,9.74,7.11,5.71,5.09,2.45,172,8.68,11,10.35,4.2,2.21,13.6,34.31,6,1.09,9,2.35,1.0,1.75,2.23,0.547,0.857,88.0,138.2,5,115,0
INV003553,14.63,8.69,6.27,5.11,3.44,3.74,124,9.54,9,8.55,5.2,2.9,12.1,30.47,6,0.68,7,1.88,1.09,0.95,2.33,0.652,0.827,71.5,171.5,11,42,0
INV003554,13.08,8.05,6.0,2.59,2.71,3.29,145,8.11,12,12.1,3.66,2.6,12.62,31.24,11,0.69,9,1.62,0.83,1.15,2.18,0.62,0.965,61.2,129.1,21,120,0
INV003555,18.17,11.08,8.82,5.89,3.17,2.98,205,8.77,10,8.73,5.55,4.76,11.06,30.94,6,1.31,11,2.04,0.78,1.95,2.06,0.483,0.609,125.0,238.8,7,72,0
INV003556,12.86,7.64,7.36,3.65,3.39,4.29,13,10.05,9,6.88,1.75,5.02,12.1,31.56,11,0.63,10,0.99,0.52,1.5,1.75,0.781,0.941,73.8,203.0,18,173,0
INV003557,9.97,6.22,3.3,4.35,2.59,1.0,102,7.3,11,8.47,2.88,1.56,12.5,28.3,9,1.14,9,0.93,0.47,2.15,3.02,0.732,1.254,25.7,16.5,9,180,0
INV003558,11.71,7.09,5.15,5.04,2.93,5.51,157,10.94,10,7.35,4.04,2.95,19.19,43.53,9,1.17,9,2.09,0.96,1.68,2.27,0.934,1.639,47.0,166.1,4,76,0
INV003559,16.91,10.87,8.42,5.87,4.56,3.49,279,5.35,11,12.55,5.79,4.82,11.7,31.82,0,0.67,8,2.45,0.77,1.55,2.01,0.316,0.692,111.1,248.5,12,10,0
INV003560,14.84,8.92,8.72,4.91,4.02,4.44,98,7.77,10,8.57,3.91,5.79,17.75,44.22,5,0.47,9,1.88,0.82,2.85,1.7,0.524,1.196,100.9,287.3,14,155,0
INV003561,14.01,8.46,10.83,7.26,2.93,4.8,99,8.06,9,8.85,3.99,2.69,12.29,35.41,2,0.64,7,1.19,0.73,1.27,1.29,0.575,0.877,118.3,364.1,10,184,0
INV003562,15.53,10.23,4.38,5.47,3.54,2.36,73,10.21,8,6.04,5.02,2.52,15.69,35.76,6,1.79,10,1.17,1.4,1.39,3.55,0.657,1.01,53.1,80.3,25,166,0
INV003563,20.39,12.96,7.72,7.08,3.28,6.78,223,6.27,10,11.35,4.05,3.86,9.55,26.82,3,1.16,9,2.7,0.73,1.61,2.64,0.308,0.468,122.8,533.6,29,109,0
INV003564,20.32,13.06,7.23,6.06,3.41,3.99,179,10.09,11,9.76,4.08,5.04,13.7,34.63,3,1.33,11,1.62,1.32,2.69,2.81,0.497,0.674,114.6,293.1,3,133,0
INV003565,18.49,11.48,7.77,5.86,3.91,5.46,139,9.98,9,9.71,4.05,2.42,9.75,27.27,9,1.17,6,2.61,1.24,1.52,2.38,0.54,0.527,112.1,392.2,17,207,1
INV003566,16.35,10.02,6.64,6.28,2.61,5.69,149,5.95,10,7.39,3.2,4.21,3.03,12.7,5,0.65,5,1.76,1.16,0.63,2.46,0.364,0.185,84.7,308.9,0,84,0
INV003567,12.52,7.22,5.41,4.95,1.98,3.57,65,14.06,10,8.57,5.03,4.73,19.5,44.41,9,1.26,6,2.21,1.03,1.74,2.31,1.123,1.558,52.8,120.9,21,148,1
INV003568,23.04,14.67,8.36,6.81,4.06,4.01,145,3.72,10,7.58,5.55,6.31,12.41,33.18,2,0.27,6,2.39,1.15,1.71,2.76,0.161,0.539,150.2,386.2,14,49,0
INV003569,11.55,7.54,4.24,3.97,1.14,2.27,10,2.91,11,5.06,1.82,1.3,9.6,23.44,1,0.36,6,0.76,1.01,0.6,2.72,0.252,0.831,38.2,55.6,0,77,0
INV003570,13.0,7.94,8.66,5.73,4.58,4.05,216,11.73,11,10.22,4.22,3.68,13.88,36.42,12,1.53,13,1.95,1.06,2.5,1.5,0.902,1.068,87.8,228.0,21,142,0
INV003571,5.36,2.95,5.58,2.74,1.04,3.01,70,9.59,10,7.62,1.63,2.12,18.45,42.48,11,1.22,15,1.23,1.07,2.2,0.96,1.789,3.442,23.3,45.0,22,138,0
INV003572,15.37,9.98,9.18,5.84,3.44,6.63,165,9.41,9,12.73,3.72,5.28,16.46,42.1,7,0.87,9,2.05,1.23,1.18,1.67,0.612,1.071,110.1,467.7,17,174,0
INV003573,14.54,9.32,6.59,5.23,3.6,4.73,219,9.55,10,7.71,5.09,4.79,16.64,39.87,1,0.24,9,2.21,0.75,2.29,2.21,0.657,1.144,74.7,226.6,14,151,0
INV003574,23.54,14.21,7.61,6.99,3.7,6.81,182,7.33,10,8.53,5.13,4.63,17.78,43.17,5,0.23,8,2.64,0.94,1.84,3.09,0.311,0.755,139.7,610.0,5,154,0
INV003575,20.96,13.62,7.88,6.76,4.67,4.26,220,6.2,12,9.43,5.06,4.34,16.53,40.94,6,0.69,11,1.12,1.0,1.65,2.66,0.296,0.789,128.8,351.8,10,45,1
INV003576,17.37,10.2,7.25,8.07,4.58,6.82,151,12.44,10,9.19,5.16,3.57,16.46,40.17,13,0.68,12,1.68,0.59,1.99,2.4,0.716,0.948,98.2,429.4,17,183,1
INV003577,15.96,9.28,6.75,5.86,3.34,6.32,124,8.3,10,8.43,4.18,3.75,10.24,27.23,8,0.37,8,2.5,1.07,1.77,2.36,0.52,0.642,84.0,340.4,9,58,0
INV003578,12.84,7.82,7.13,3.88,3.61,3.66,195,6.03,9,7.0,3.33,3.74,11.72,30.57,6,0.32,8,1.99,1.06,2.02,1.8,0.47,0.913,71.4,167.5,1,57,0
INV003579,14.0,8.98,5.72,4.42,3.22,4.27,159,11.78,11,10.74,4.6,3.34,16.09,37.9,10,1.32,10,1.05,1.05,1.45,2.45,0.841,1.149,62.5,171.0,17,255,0
INV003580,8.66,5.38,5.75,4.55,3.22,5.43,90,9.66,10,7.67,3.96,4.54,11.12,27.99,8,0.07,8,1.57,0.88,0.65,1.51,1.115,1.284,38.8,135.2,4,78,0
INV003581,11.4,7.15,5.66,4.61,4.72,3.67,161,4.56,9,12.03,3.99,3.7,7.85,21.36,4,0.03,6,1.43,0.62,1.76,2.01,0.4,0.689,50.3,118.4,5,83,0
INV003582,19.74,12.38,6.55,5.9,4.76,5.92,250,9.7,9,11.69,4.08,4.49,13.6,33.75,12,0.3,10,2.28,1.28,1.7,3.01,0.491,0.689,100.9,382.7,13,55,0
INV003583,12.87,7.37,5.27,5.86,2.44,2.76,68,11.03,9,8.58,3.88,2.68,10.65,26.57,5,0.72,8,0.98,0.81,1.44,2.44,0.857,0.828,52.9,93.6,8,146,0
INV003584,10.95,6.65,7.37,5.66,2.48,2.69,65,8.96,9,7.88,3.65,1.68,14.06,35.49,7,0.81,9,1.6,0.96,2.22,1.49,0.818,1.284,62.9,108.5,13,165,0
INV003585,18.54,11.57,9.86,5.55,3.57,5.03,162,6.3,11,11.88,7.08,3.97,16.47,42.8,7,1.47,9,2.64,0.65,2.23,1.88,0.34,0.888,142.6,459.8,18,128,0
INV003586,13.75,8.76,5.49,2.36,1.41,4.08,30,4.32,11,7.59,2.91,2.73,13.75,32.99,0,0.81,8,0.81,0.75,0.59,2.5,0.314,1.0,58.9,154.0,0,41,0
INV003587,17.02,10.3,6.32,5.5,4.11,3.39,188,9.12,10,8.99,5.09,3.22,18.52,43.36,8,0.95,12,1.63,1.1,2.59,2.69,0.536,1.088,83.9,182.3,38,193,1
INV003588,14.57,9.38,7.32,5.53,4.65,2.4,192,2.62,9,11.15,4.47,3.52,6.79,20.9,0,0.64,5,2.4,0.8,0.78,1.99,0.18,0.466,83.2,128.0,5,23,0
INV003589,16.17,9.65,7.86,5.24,3.32,8.15,132,10.56,10,12.21,5.1,2.42,18.99,45.84,9,1.36,12,1.54,0.86,1.85,2.06,0.653,1.174,99.1,517.9,25,155,0
INV003590,12.46,7.95,6.81,4.89,4.54,4.47,225,10.79,11,8.7,3.03,3.18,17.32,41.45,11,0.59,9,1.44,1.0,2.47,1.83,0.866,1.39,66.2,189.6,21,225,0
INV003591,16.69,10.14,7.05,5.17,4.15,6.91,155,5.78,10,7.0,5.02,5.78,9.72,26.49,3,1.29,9,2.05,1.38,1.43,2.37,0.346,0.582,91.8,406.5,0,52,0
INV003592,15.78,9.56,8.55,5.0,3.03,2.87,189,10.14,8,6.85,4.69,3.76,14.21,36.97,8,1.07,8,2.09,0.53,2.66,1.85,0.643,0.901,105.2,193.6,13,184,0
INV003593,17.21,10.66,3.43,4.99,3.56,3.41,135,8.79,10,9.41,3.13,3.77,15.52,34.47,12,1.1,12,1.6,1.06,2.77,5.02,0.511,0.902,46.0,100.6,25,178,1
INV003594,19.0,11.69,7.4,7.57,5.06,4.9,248,5.51,9,13.28,5.51,5.63,11.91,31.22,7,0.85,9,2.38,1.1,1.59,2.57,0.29,0.627,109.7,344.5,9,109,0
INV003595,8.58,5.47,6.12,4.89,3.56,3.4,124,9.94,10,11.15,4.02,3.15,13.93,33.98,4,1.57,12,1.82,0.58,1.71,1.4,1.159,1.624,41.0,89.3,10,158,0
INV003596,8.24,5.04,3.95,3.67,3.14,2.73,54,7.77,10,6.64,3.6,3.34,12.02,27.99,4,0.87,9,2.34,0.8,1.98,2.09,0.943,1.459,25.4,44.4,21,150,0
INV003597,16.1,9.79,6.24,3.81,3.16,5.53,102,7.84,11,10.57,5.25,2.43,12.68,31.6,6,0.65,8,1.79,1.0,1.89,2.58,0.487,0.788,78.4,277.8,0,119,1
INV003598,10.64,6.21,6.27,4.55,1.37,3.68,95,5.03,9,6.93,1.85,2.48,13.13,32.53,7,0.49,7,1.29,1.0,0.2,1.7,0.473,1.234,52.0,122.8,13,68,0
INV003599,13.52,8.31,6.61,3.33,3.75,5.47,212,11.36,11,6.06,5.35,4.2,16.46,39.53,7,1.55,9,0.83,0.56,3.28,2.05,0.84,1.217,69.7,244.4,27,162,0
INV003600,10.14,6.32,8.45,4.63,4.22,6.11,54,7.92,11,8.78,4.53,3.91,12.47,33.39,5,1.07,12,2.46,0.79,2.05,1.2,0.781,1.23,66.8,261.8,13,63,0
INV003601,21.29,13.31,5.54,7.39,2.82,4.24,147,11.14,9,6.05,5.87,5.36,16.43,38.4,9,1.06,9,1.81,0.56,2.23,3.84,0.523,0.772,92.0,250.0,26,117,0
INV003602,21.52,13.15,7.97,4.18,2.72,5.38,179,4.51,12,10.55,5.68,4.39,13.01,33.99,6,0.35,8,1.61,0.4,0.48,2.7,0.21,0.605,133.8,461.4,19,86,0
INV003603,19.23,12.28,6.57,5.22,3.6,5.36,192,9.67,10,9.99,3.96,2.57,10.62,27.81,3,0.0,5,1.88,1.1,1.08,2.93,0.503,0.552,98.5,338.6,8,159,0
INV003604,28.38,17.32,8.52,7.36,5.29,5.35,243,9.35,9,12.24,4.79,5.81,13.46,35.44,4,1.75,10,2.68,0.77,1.82,3.33,0.329,0.474,188.6,646.8,15,134,0
INV003605,17.68,11.04,6.67,6.71,3.11,3.4,271,2.9,9,12.64,4.97,3.64,9.6,25.87,3,0.47,5,1.83,0.75,0.2,2.65,0.164,0.543,92.0,200.5,0,19,0
INV003606,25.52,15.99,8.21,8.18,5.4,5.21,261,6.1,11,15.02,7.01,4.22,13.45,35.11,5,0.37,8,2.63,0.52,1.64,3.11,0.239,0.527,163.4,545.8,6,111,0
INV003607,9.46,5.67,4.93,5.64,3.74,2.58,161,6.35,9,7.44,4.13,2.66,12.82,30.57,7,1.2,8,1.19,1.02,2.35,1.92,0.671,1.355,36.4,60.2,11,58,0
INV003608,15.0,9.79,4.74,7.06,2.82,3.32,165,7.35,11,7.4,3.93,2.58,12.01,28.76,5,0.67,6,1.77,0.63,1.22,3.16,0.49,0.801,55.5,118.0,0,94,0
INV003609,19.54,12.45,8.26,5.02,3.99,6.32,236,7.67,10,10.92,5.63,3.99,13.92,36.1,3,0.5,9,2.44,0.76,1.63,2.37,0.393,0.712,125.9,510.0,2,89,0
INV003610,19.54,12.05,4.95,6.11,4.96,3.96,194,5.18,10,9.55,3.55,3.74,5.1,15.15,7,0.37,4,1.09,1.12,0.2,3.95,0.265,0.261,75.4,191.5,9,26,0
INV003611,22.12,13.85,8.42,6.54,4.56,6.4,255,10.01,9,9.44,5.41,4.57,13.6,35.62,6,0.61,5,1.81,0.91,1.35,2.63,0.453,0.615,145.3,596.0,9,133,1
INV003612,10.72,6.66,6.39,4.49,2.95,3.81,64,10.8,7,8.86,4.91,4.72,14.5,35.39,9,0.73,8,2.0,0.73,1.91,1.68,1.007,1.353,53.4,130.5,11,141,0
INV003613,19.89,12.65,8.45,5.19,3.67,5.6,147,5.26,10,10.0,5.2,3.71,13.31,35.07,8,0.0,7,1.89,1.22,1.73,2.35,0.264,0.669,131.1,470.6,14,119,0
INV003614,19.81,12.21,6.1,7.08,5.06,4.56,190,10.74,8,10.48,4.78,3.98,15.26,36.62,9,0.75,7,1.94,1.45,1.78,3.25,0.542,0.77,94.3,275.5,13,76,0
INV003615,13.94,8.96,3.1,5.3,4.05,4.63,285,5.96,10,8.3,5.26,4.38,6.15,15.4,1,0.53,7,1.54,0.58,0.62,4.5,0.428,0.441,33.7,100.0,8,86,0
INV003616,17.74,10.87,7.06,4.61,3.51,4.36,176,4.52,10,7.43,3.57,4.26,12.36,31.78,4,0.54,10,1.64,1.05,0.9,2.51,0.255,0.697,97.7,273.0,1,94,0
INV003617,20.44,12.77,9.34,6.05,4.65,4.44,171,6.66,11,8.3,3.31,4.91,7.99,25.32,0,0.38,11,1.74,1.28,1.32,2.19,0.326,0.391,148.9,423.8,0,80,0
INV003618,10.98,6.66,3.12,3.16,2.63,4.13,26,5.81,9,4.16,1.0,1.21,10.22,23.56,3,0.35,7,1.39,1.0,0.66,3.52,0.529,0.931,26.7,70.7,9,74,0
INV003619,10.77,6.13,5.4,3.49,2.89,1.59,10,11.13,10,7.25,4.91,1.0,16.3,38.0,8,1.0,10,1.87,0.8,0.95,1.99,1.033,1.513,45.4,46.2,23,80,0
INV003620,6.97,4.37,6.27,4.55,2.56,2.08,136,8.75,9,5.86,4.04,2.54,8.4,23.07,4,1.1,12,0.55,1.24,1.19,1.11,1.255,1.205,34.1,45.4,3,32,0
INV003621,13.97,9.15,7.42,4.85,3.24,1.96,134,8.69,11,6.68,3.42,4.17,11.42,30.26,7,0.93,9,0.91,0.83,1.9,1.88,0.622,0.817,80.9,101.6,12,159,0
INV003622,13.11,7.41,5.71,3.54,2.76,2.63,226,10.32,9,6.25,3.26,4.02,14.42,34.55,3,1.13,13,1.36,0.34,3.17,2.3,0.787,1.1,58.4,98.4,9,182,0
INV003623,14.94,9.45,7.54,6.63,3.87,6.69,153,10.38,9,12.22,6.04,2.29,16.15,39.84,9,1.11,12,1.83,0.8,2.17,1.98,0.695,1.081,87.9,376.8,23,220,1
INV003624,16.06,10.41,8.34,7.18,4.36,4.93,183,7.24,7,9.59,5.94,5.0,8.46,25.26,1,0.82,7,1.73,0.68,1.22,1.93,0.451,0.527,104.5,330.2,8,127,0
INV003625,13.66,8.67,5.88,7.22,3.67,5.8,164,8.42,10,8.19,3.82,3.21,16.19,38.26,8,1.09,9,1.28,0.4,1.31,2.32,0.616,1.185,62.7,232.9,5,136,0
INV003626,6.61,4.84,4.01,3.47,1.95,3.33,33,9.5,10,5.8,3.24,2.32,15.02,34.05,7,1.0,9,1.64,1.04,1.65,1.65,1.437,2.272,20.7,44.1,16,160,0
INV003627,14.09,8.82,5.89,4.75,1.82,3.23,19,6.87,12,8.04,5.52,2.96,10.47,26.83,3,0.2,9,1.91,0.92,1.14,2.39,0.488,0.743,64.7,134.0,11,102,0
INV003628,6.92,4.12,5.46,4.88,4.24,2.4,150,6.94,9,6.98,3.58,2.81,15.31,36.08,4,0.65,8,2.04,0.74,1.32,1.27,1.003,2.212,29.5,45.3,10,41,0
INV003629,14.35,9.08,5.81,4.09,4.04,4.98,134,6.16,11,10.7,3.92,3.12,14.33,34.47,4,0.55,11,1.65,0.92,1.09,2.47,0.429,0.999,65.0,207.6,15,79,1
INV003630,14.62,9.3,8.71,5.96,3.47,6.82,228,10.83,11,10.77,6.12,3.44,16.98,42.67,8,1.19,14,1.76,1.36,2.11,1.68,0.741,1.161,99.3,434.2,14,186,1
INV003631,19.31,12.12,8.68,6.11,3.71,6.83,206,9.01,12,13.58,5.0,5.25,10.76,30.2,7,1.17,11,2.06,1.39,2.11,2.22,0.467,0.557,130.7,572.4,7,139,1
INV003632,15.92,9.38,5.83,3.1,1.35,6.59,108,7.77,11,3.09,5.35,2.3,15.36,36.55,2,1.23,10,1.39,0.4,2.82,2.73,0.488,0.965,72.4,305.8,18,193,0
INV003633,8.42,4.97,4.28,2.18,2.58,3.01,80,3.53,11,3.37,5.35,3.52,10.08,24.44,1,0.0,4,1.72,0.57,0.2,1.97,0.419,1.197,28.1,54.2,0,137,0
INV003634,11.95,7.58,4.32,4.26,3.65,4.87,172,2.68,11,7.97,4.09,2.18,11.6,27.52,4,0.78,9,2.01,1.01,1.96,2.77,0.224,0.971,40.3,125.7,15,82,0
INV003635,11.89,7.78,4.12,1.67,2.4,3.23,58,5.57,10,5.5,3.67,4.03,10.09,24.3,5,0.55,6,1.23,1.33,1.89,2.89,0.468,0.849,38.2,79.1,0,93,0
INV003636,13.89,8.31,7.56,4.38,2.39,3.63,141,7.62,11,9.9,2.37,1.76,16.11,39.78,9,0.94,11,1.51,0.92,0.99,1.84,0.549,1.16,81.9,190.6,21,228,0
INV003637,14.35,9.3,7.5,5.24,3.71,3.56,159,9.59,11,7.84,4.05,4.36,10.0,27.5,6,1.03,9,2.14,0.8,2.11,1.91,0.668,0.697,83.9,191.6,9,135,0
INV003638,21.78,13.6,8.03,7.17,3.84,6.27,209,9.92,10,10.28,3.9,3.09,17.04,42.11,3,0.7,9,1.85,1.18,1.31,2.71,0.455,0.782,136.4,548.3,8,136,1
INV003639,16.24,9.72,7.66,3.17,3.99,2.76,133,9.84,11,10.12,2.98,3.97,15.7,39.06,7,1.25,10,1.66,1.0,2.68,2.12,0.606,0.967,97.0,171.7,19,175,0
INV003640,12.51,7.45,7.76,4.35,3.77,3.67,150,4.24,12,7.04,4.74,3.62,9.46,26.68,1,1.17,6,1.31,1.06,1.09,1.61,0.339,0.756,75.7,178.1,16,36,0
INV003641,9.76,6.4,6.37,4.79,2.15,5.71,120,14.32,11,9.17,3.85,2.93,21.18,48.73,11,1.11,11,1.37,0.69,2.65,1.53,1.467,2.17,48.5,177.5,28,89,0
INV003642,13.92,8.49,8.63,4.55,4.0,4.47,229,8.76,11,11.23,6.46,4.14,13.45,35.53,9,1.34,11,2.1,1.3,2.03,1.61,0.629,0.966,93.7,268.5,16,175,0
INV003643,14.96,9.13,10.27,4.01,3.26,4.14,157,6.86,9,6.85,4.82,1.18,8.87,28.01,4,0.24,10,1.5,1.26,0.98,1.46,0.459,0.593,119.8,318.0,7,95,0
INV003644,14.05,8.86,5.82,4.27,4.33,4.41,188,5.83,10,8.45,4.84,4.51,10.58,26.98,4,0.66,8,2.31,1.1,0.43,2.41,0.415,0.753,63.8,180.3,9,106,0
INV003645,21.74,13.44,7.32,6.02,3.57,5.59,248,11.57,10,9.77,5.03,3.18,17.93,43.18,10,1.16,11,1.95,0.86,1.67,2.97,0.532,0.825,124.1,444.8,14,96,1
INV003646,16.7,10.48,4.9,5.53,1.83,5.21,144,12.14,9,9.63,4.37,2.51,15.07,35.04,7,0.89,12,1.5,0.31,1.84,3.41,0.727,0.902,63.8,213.2,20,159,1
INV003647,12.98,7.73,7.69,5.73,1.96,3.86,102,6.95,10,7.09,5.38,2.38,12.09,31.87,4,0.99,9,1.4,1.41,1.63,1.69,0.535,0.931,77.9,192.6,18,208,0
INV003648,12.32,7.84,5.47,6.5,2.23,3.51,139,9.09,10,4.09,4.77,4.95,12.97,31.41,4,1.19,9,1.81,0.83,1.74,2.25,0.738,1.053,52.6,118.3,8,177,1
INV003649,18.64,11.93,8.37,5.26,2.69,3.01,214,5.83,10,8.19,3.09,4.27,11.92,32.21,4,0.39,9,1.78,0.68,1.35,2.23,0.313,0.639,121.7,234.8,2,122,0
INV003650,17.89,11.09,9.18,5.83,3.6,4.54,255,5.67,10,10.62,5.04,4.32,10.12,29.42,1,0.73,9,1.61,0.96,1.67,1.95,0.317,0.566,128.1,372.8,6,116,0
INV003651,16.29,9.63,7.08,6.01,5.46,4.91,286,7.11,14,8.95,4.43,4.37,6.81,20.7,8,0.8,9,2.1,1.09,2.15,2.3,0.436,0.418,90.0,283.1,19,118,0
INV003652,6.47,4.21,5.39,3.76,2.45,1.0,106,13.16,11,8.13,2.83,1.2,17.91,41.21,11,0.88,10,1.32,0.68,1.42,1.2,2.034,2.768,27.2,17.4,13,194,0
INV003653,16.02,9.62,6.12,6.84,3.89,2.13,143,2.3,8,8.56,5.17,4.42,6.61,19.34,0,0.13,7,1.56,1.17,0.2,2.62,0.144,0.413,76.5,104.4,7,79,0
INV003654,19.67,11.74,7.63,7.68,4.31,5.62,201,9.41,9,9.38,4.32,4.05,14.89,37.41,11,0.77,10,2.97,1.16,2.88,2.58,0.478,0.757,117.1,421.7,16,107,1
INV003655,13.88,8.65,8.77,5.28,3.64,3.54,12,4.3,8,8.87,4.0,4.02,6.27,21.31,0,0.37,5,1.75,0.74,0.49,1.58,0.31,0.452,94.9,215.5,0,67,0
INV003656,18.36,11.6,10.55,5.64,4.31,6.11,226,8.7,10,9.52,6.73,6.18,10.97,32.49,9,0.94,8,1.59,0.57,2.28,1.74,0.474,0.597,151.1,591.7,22,111,0
INV003657,9.11,6.2,6.59,5.42,4.0,4.2,282,5.12,10,9.35,5.16,4.77,12.73,32.05,6,0.33,7,1.82,0.83,1.61,1.38,0.562,1.397,46.8,126.1,3,148,0
INV003658,12.93,8.2,5.74,3.31,3.24,3.23,193,9.65,10,10.17,3.32,4.66,11.2,28.14,1,0.85,4,1.94,0.9,1.23,2.25,0.746,0.866,57.9,119.9,9,166,0
INV003659,13.57,8.91,7.01,5.7,3.23,4.73,164,9.87,11,11.17,5.01,5.36,14.69,36.39,7,0.68,6,2.32,0.84,1.58,1.94,0.727,1.083,74.2,225.0,12,168,0
INV003660,11.34,7.47,6.07,5.82,2.47,4.98,188,11.42,10,9.47,6.63,3.46,14.09,34.25,11,0.92,9,2.47,1.3,2.11,1.87,1.007,1.243,53.7,171.4,18,148,0
INV003661,17.06,10.9,9.17,7.5,4.12,5.43,246,7.38,10,8.55,5.43,5.08,16.01,41.19,7,1.19,13,2.08,1.23,0.75,1.86,0.433,0.938,122.0,424.7,8,112,0
INV003662,15.67,9.89,7.34,5.43,4.34,3.28,231,12.08,9,14.09,5.06,1.58,12.52,32.38,8,0.76,12,2.41,0.96,3.8,2.13,0.771,0.799,89.7,188.6,19,159,1
INV003663,21.51,12.95,8.96,6.78,5.2,6.08,176,8.07,11,10.57,5.51,5.38,17.15,43.26,9,1.26,8,2.11,0.53,1.45,2.4,0.375,0.797,150.3,585.9,13,228,0
INV003664,18.87,11.57,8.8,6.49,3.93,4.79,137,7.51,11,7.06,3.74,4.0,6.95,22.7,4,0.05,11,2.28,1.06,0.93,2.14,0.398,0.368,129.5,397.7,3,65,1
INV003665,15.92,9.67,9.06,6.09,2.86,4.62,190,5.53,9,8.31,5.89,4.31,13.34,35.74,1,0.56,9,1.69,0.8,1.46,1.76,0.347,0.838,112.5,333.2,3,71,0
INV003666,17.11,10.94,8.17,5.16,4.66,5.4,194,9.32,9,8.47,3.94,3.94,12.42,33.01,5,0.84,9,1.67,0.97,1.42,2.09,0.545,0.726,109.0,377.4,11,216,0
INV003667,14.82,9.31,6.56,7.47,4.05,4.54,161,5.78,9,7.98,5.22,3.17,10.99,28.54,2,0.82,8,2.19,0.96,1.23,2.26,0.39,0.742,75.8,220.7,0,97,0
INV003668,19.44,11.47,4.98,2.22,2.71,4.11,75,8.68,12,3.13,4.0,2.27,12.01,29.0,4,1.13,8,1.39,0.47,1.6,3.9,0.447,0.618,75.5,198.9,12,37,0
INV003669,15.54,9.84,6.87,7.99,3.89,3.88,214,2.43,11,9.02,4.87,4.74,12.11,31.09,5,0.0,7,1.86,1.13,1.06,2.26,0.156,0.779,83.3,207.1,6,68,0
INV003670,19.89,12.58,9.16,7.25,4.24,4.31,284,6.36,8,11.54,4.48,3.1,9.19,27.54,0,0.43,8,1.99,1.16,1.14,2.17,0.32,0.462,142.1,392.6,11,105,0
INV003671,17.76,10.63,6.38,4.38,3.27,4.84,159,5.34,10,6.58,4.72,3.96,12.75,31.88,8,1.0,5,2.16,0.99,0.98,2.78,0.301,0.718,88.4,274.2,10,90,0
INV003672,19.26,12.1,7.06,5.73,3.77,5.37,148,6.94,10,10.23,4.11,3.43,15.92,38.9,4,0.95,10,1.61,0.65,1.93,2.73,0.36,0.827,106.1,365.1,8,112,0
INV003673,10.61,6.85,3.39,2.66,2.05,2.44,161,8.5,10,4.65,4.84,3.0,11.24,25.87,9,0.81,10,1.48,0.73,1.45,3.13,0.801,1.059,28.1,43.9,15,191,0
INV003674,17.13,10.92,4.76,5.04,2.9,5.9,21,7.19,10,9.25,3.17,1.21,9.71,24.18,5,1.01,7,1.58,0.61,2.1,3.6,0.42,0.567,63.6,240.5,4,85,0
INV003675,11.39,7.08,4.5,4.19,4.07,2.5,136,8.16,9,2.0,2.74,1.43,13.07,30.64,13,0.95,9,1.21,0.77,2.39,2.53,0.716,1.147,40.0,64.1,22,199,0
INV003676,12.93,7.62,5.13,5.14,3.14,5.42,39,6.24,8,8.19,2.44,2.09,12.09,29.31,4,0.33,5,1.21,0.95,1.07,2.52,0.483,0.935,51.7,179.8,16,10,0
INV003677,19.99,12.06,7.16,7.16,4.71,3.69,293,7.52,12,9.57,2.15,5.93,8.81,24.78,4,0.88,7,1.97,1.02,1.33,2.79,0.376,0.441,111.6,264.1,7,12,0
INV003678,13.4,8.11,5.28,5.18,2.6,3.65,101,5.41,10,8.24,2.62,2.49,12.59,30.46,8,0.68,8,1.24,1.14,1.78,2.54,0.404,0.94,55.2,129.1,0,145,0
INV003679,12.82,7.99,6.9,5.22,2.37,4.95,120,7.7,9,6.28,2.71,2.79,13.57,34.04,2,0.54,9,1.04,0.83,1.42,1.86,0.601,1.059,69.0,218.9,13,150,0
INV003680,17.55,10.6,8.67,5.65,4.17,3.06,156,5.97,10,9.97,3.47,3.93,12.31,33.29,4,0.9,9,2.53,0.8,1.44,2.02,0.34,0.701,118.7,232.8,1,97,0
