id_especimen,longitud_total_mm,longitud_elitro_mm,anchura_max_mm,anchura_pronoto_mm,anchura_cabeza_mm,altura_cuerpo_mm,longitud_antena_mm,num_segmentos_antena,longitud_pata_anterior_mm,longitud_pata_posterior_mm,longitud_femur_mm,longitud_tibia_mm,longitud_tarso_mm,distancia_interocular_mm,diametro_ojo_mm,longitud_mandibula_mm,num_estrias_elitro,num_puntos_pronoto,longitud_espolon_mm,peso_mg,ratio_largo_ancho,ratio_antena_cuerpo,ratio_pata_cuerpo,area_dorsal_mm2,volumen_estimado_mm3,longitud_ala_mm,envergadura_mm,coloracion
ESP000807,17.74,11.65,9.74,7.66,5.11,6.49,8.67,14,5.05,8.71,3.52,2.8,3.97,1.85,0.9,2.8,11,79,0.4,227,1.82,0.489,0.491,134.8,560.7,19.51,48.76,metalico
ESP000808,25.79,16.57,11.24,9.08,5.51,7.49,10.68,12,4.08,14.4,6.39,4.04,4.05,1.79,1.53,3.58,11,70,0.1,313,2.29,0.414,0.558,226.1,1085.6,15.8,42.84,metalico
ESP000809,17.86,12.07,9.72,8.2,5.28,6.9,11.11,14,5.9,12.45,4.56,3.78,4.04,2.04,0.2,2.67,11,75,0.63,211,1.84,0.622,0.697,135.4,598.9,13.92,37.56,metalico
ESP000810,20.33,12.99,9.37,7.37,5.15,6.91,8.92,13,9.27,13.0,1.4,4.48,4.21,1.85,0.22,2.78,13,71,0.76,265,2.17,0.439,0.639,148.6,658.2,17.07,43.51,metalico
ESP000811,14.31,8.88,4.0,3.54,2.01,2.54,6.35,8,7.75,7.91,3.32,1.81,3.28,1.45,1.0,1.64,6,56,0.33,94,3.58,0.444,0.553,44.6,72.7,7.06,18.12,negro
ESP000812,21.78,13.86,8.87,6.87,4.76,7.1,8.99,11,10.17,11.73,2.8,3.9,4.99,2.28,0.21,1.8,15,37,0.1,194,2.46,0.413,0.539,150.7,685.8,17.72,44.31,metalico
ESP000813,12.68,8.14,4.6,3.6,2.46,4.06,4.67,9,5.77,3.83,2.05,2.21,1.84,1.73,1.16,1.09,6,64,0.12,82,2.76,0.368,0.302,45.5,118.4,10.78,26.16,negro
ESP000814,24.44,14.71,10.95,9.04,6.2,7.91,8.74,12,2.04,14.34,4.59,2.74,5.42,1.76,1.06,3.54,9,68,0.4,323,2.23,0.358,0.587,208.7,1058.4,18.82,48.59,rojizo
ESP000815,9.19,5.4,3.75,3.15,1.71,2.63,6.67,10,5.16,9.97,3.86,6.49,3.12,1.35,0.75,1.16,12,59,1.06,16,2.45,0.726,1.085,26.9,45.3,7.95,19.65,marron
ESP000816,24.7,14.69,10.58,8.38,5.76,6.73,11.35,10,2.22,12.52,6.3,2.96,3.57,2.28,0.78,2.85,12,79,0.19,279,2.33,0.46,0.507,203.8,879.4,20.72,52.02,metalico
ESP000817,10.2,6.0,4.18,3.58,2.49,5.52,7.18,8,6.08,5.36,3.78,6.06,3.01,1.68,1.63,1.26,13,70,0.98,42,2.44,0.704,0.525,33.3,117.7,12.64,29.46,negro
ESP000818,13.2,7.82,4.89,4.13,2.81,4.59,5.39,9,3.86,6.58,1.2,1.68,3.25,1.3,0.63,0.35,6,42,0.1,52,2.7,0.408,0.498,50.3,148.1,10.0,24.89,negro
ESP000819,11.52,7.46,4.55,3.7,2.99,2.62,5.82,8,4.29,7.31,3.96,1.34,2.12,1.93,0.82,0.59,6,52,0.1,66,2.53,0.505,0.635,40.9,68.7,10.75,26.05,negro
ESP000820,19.99,12.92,9.47,7.51,5.37,6.84,10.57,13,6.73,12.23,3.57,4.36,3.4,2.91,0.77,1.89,13,52,0.46,223,2.11,0.529,0.612,147.7,647.4,15.47,40.41,metalico
ESP000821,24.55,14.64,10.82,9.33,6.39,8.98,10.28,11,2.87,12.91,7.08,2.8,3.62,1.5,0.72,3.04,11,81,0.57,323,2.27,0.419,0.526,207.2,1192.7,11.44,33.7,metalico
ESP000822,10.59,6.98,4.04,2.83,2.2,1.0,5.02,8,4.4,6.89,3.32,5.64,1.93,1.17,1.52,0.78,5,52,1.03,6,2.62,0.474,0.651,33.4,21.4,12.76,29.56,marron
ESP000823,20.59,13.68,9.51,8.1,4.88,5.1,7.91,12,5.42,13.57,3.19,6.02,2.7,1.8,0.78,2.63,12,58,0.95,222,2.17,0.384,0.659,152.7,499.3,18.03,45.57,marron
ESP000824,12.38,8.08,4.99,3.63,3.01,4.2,3.82,6,5.4,6.88,3.82,1.0,3.45,1.85,1.35,1.04,5,64,0.58,88,2.48,0.309,0.556,48.2,129.7,8.57,22.13,negro
ESP000825,10.89,6.59,4.85,3.69,2.51,1.34,4.98,10,6.7,5.75,4.43,1.1,3.03,2.56,1.18,1.02,7,67,0.1,56,2.25,0.457,0.528,41.2,35.4,12.17,29.19,rojizo
ESP000826,12.15,7.92,5.4,3.82,3.22,4.34,5.78,9,6.03,3.75,3.14,1.24,2.46,1.28,1.26,1.46,6,49,0.9,54,2.25,0.476,0.309,51.2,142.4,5.66,16.72,metalico
ESP000827,10.98,7.16,4.95,3.89,2.6,3.88,7.95,10,7.19,10.49,1.64,1.0,3.51,1.22,0.88,1.07,6,64,0.2,54,2.22,0.724,0.955,42.4,105.4,10.34,25.63,negro
ESP000828,9.7,6.16,4.22,3.6,2.08,4.49,4.86,7,2.39,7.07,6.2,5.56,0.69,2.18,1.28,0.98,9,55,1.18,5,2.3,0.501,0.729,31.9,91.9,9.82,23.86,marron
ESP000829,11.24,7.28,3.7,2.72,2.24,2.34,3.17,10,6.69,8.42,5.21,5.27,3.29,1.78,1.08,1.55,11,45,0.52,24,3.04,0.282,0.749,32.4,48.7,14.99,33.68,negro
ESP000830,13.94,8.48,4.41,4.08,2.56,4.68,6.12,9,3.26,6.08,3.1,1.0,3.23,1.19,1.07,1.21,4,44,0.75,82,3.16,0.439,0.436,48.0,143.9,8.51,21.43,negro
ESP000831,20.38,12.03,10.01,7.89,5.16,7.66,5.94,13,9.96,13.06,2.4,4.39,3.62,2.38,0.33,2.37,14,54,0.53,261,2.04,0.291,0.641,159.1,781.3,13.74,37.49,rojizo
ESP000832,12.11,7.62,5.13,4.13,2.66,3.81,2.68,9,3.93,3.97,3.6,1.06,2.68,1.63,0.61,0.67,4,63,0.33,55,2.36,0.221,0.328,48.5,118.3,9.91,24.95,negro
ESP000833,12.46,8.1,4.56,3.57,2.55,2.57,4.5,8,5.82,6.86,3.05,1.86,3.91,1.78,0.73,0.85,7,62,0.67,55,2.73,0.361,0.551,44.3,73.0,7.14,18.84,rojizo
ESP000834,11.31,6.82,3.28,2.71,1.85,1.0,5.73,10,5.43,9.17,4.78,6.04,3.1,1.32,0.83,1.08,8,53,1.25,6,3.45,0.507,0.811,28.9,18.5,10.8,24.88,marron
ESP000835,10.18,6.22,4.44,3.42,2.2,1.62,7.13,10,3.33,5.81,5.24,5.9,2.23,2.34,1.1,1.09,11,72,0.68,40,2.29,0.7,0.571,35.3,36.6,12.34,29.12,marron
ESP000836,12.67,7.54,5.04,3.95,2.65,3.51,5.23,7,4.38,7.39,3.05,1.2,2.92,1.36,1.07,0.46,7,54,0.16,47,2.51,0.413,0.583,49.8,112.1,4.04,13.12,marron
ESP000837,11.34,6.75,4.76,3.03,2.36,4.27,7.79,8,5.03,8.21,4.22,1.38,1.47,1.44,0.53,1.37,4,62,1.19,91,2.38,0.687,0.724,42.1,115.2,10.54,25.84,negro
ESP000838,24.71,15.4,11.83,9.63,6.68,9.27,12.57,12,2.61,13.02,6.94,2.68,4.88,1.36,0.74,1.55,13,52,0.6,330,2.09,0.509,0.527,228.0,1354.9,14.64,41.11,negro
ESP000839,10.17,6.66,3.9,3.34,2.22,1.0,5.3,8,4.27,9.01,5.3,5.61,2.34,1.37,1.06,1.21,10,48,0.79,5,2.61,0.521,0.886,30.9,19.8,5.05,14.0,marron
ESP000840,9.11,5.73,3.77,2.92,1.94,5.45,4.68,10,3.94,8.14,4.84,6.1,1.65,1.87,1.25,0.84,8,38,0.57,25,2.42,0.514,0.894,26.8,93.6,14.62,33.01,marron
ESP000841,19.87,11.73,9.21,7.34,4.67,5.46,8.51,10,9.32,13.88,1.43,5.19,5.01,1.69,0.73,2.76,14,53,0.6,229,2.16,0.428,0.699,142.7,499.6,14.35,37.91,rojizo
ESP000842,11.02,6.54,4.0,3.19,2.46,3.56,3.67,8,3.62,8.4,5.36,1.0,2.52,1.49,1.2,0.46,8,64,0.92,59,2.76,0.333,0.762,34.4,78.5,3.47,10.94,negro
ESP000843,23.06,14.04,9.9,7.92,5.57,6.62,13.04,12,5.18,13.89,5.49,4.24,3.54,1.64,1.02,2.61,9,40,0.52,330,2.33,0.565,0.602,178.1,755.7,19.97,49.84,metalico
ESP000844,9.53,5.03,3.66,3.24,1.76,5.01,5.44,9,4.84,7.11,5.05,5.79,3.9,1.64,1.59,1.88,9,37,1.57,5,2.6,0.571,0.746,27.2,87.4,13.92,31.5,marron
ESP000845,22.48,13.64,10.65,8.49,6.08,8.69,9.21,11,3.69,11.71,6.93,3.43,3.24,1.98,1.42,2.91,11,69,0.5,323,2.11,0.41,0.521,186.7,1040.2,17.08,44.81,metalico
ESP000846,18.84,12.18,9.69,7.41,5.47,4.45,8.36,10,6.93,10.64,2.64,5.25,3.65,2.13,0.27,2.74,13,54,0.22,244,1.94,0.444,0.565,142.4,406.2,11.91,33.51,marron
ESP000847,25.44,16.06,10.54,7.84,5.78,6.57,13.57,12,3.58,12.93,5.9,3.88,3.71,0.7,0.8,3.03,7,77,0.47,335,2.41,0.533,0.508,209.1,880.8,19.62,49.78,metalico
ESP000848,12.53,7.82,3.86,2.81,2.4,2.51,5.84,12,3.59,7.59,5.24,5.06,2.05,1.84,1.32,1.26,8,33,1.07,5,3.25,0.466,0.606,37.7,60.7,7.21,18.28,negro
ESP000849,13.98,8.48,4.34,2.98,2.24,4.43,6.8,8,5.63,4.71,3.04,1.23,3.1,0.8,0.97,0.82,6,72,0.6,61,3.22,0.486,0.337,47.3,134.4,9.0,22.34,negro
ESP000850,8.8,5.42,4.84,4.25,2.99,3.59,8.96,6,3.85,9.57,2.99,5.25,2.56,2.09,1.05,1.86,11,68,0.6,8,1.82,1.018,1.088,33.2,76.5,6.02,16.88,negro
ESP000851,13.57,7.8,4.83,3.24,2.8,2.64,4.23,8,5.2,4.33,4.61,1.0,3.15,1.49,1.29,0.61,6,58,0.92,95,2.81,0.312,0.319,51.1,86.5,10.25,25.33,metalico
ESP000852,25.0,15.04,10.41,8.02,5.81,7.26,11.19,10,2.2,14.55,6.3,4.7,4.64,2.28,1.04,2.64,13,51,0.72,288,2.4,0.448,0.582,203.0,944.7,14.7,39.81,metalico
ESP000853,10.21,6.35,4.03,2.89,2.13,1.0,7.2,11,7.08,4.44,5.85,6.37,2.18,2.72,0.96,0.98,11,63,0.89,33,2.53,0.705,0.435,32.1,20.6,13.54,31.11,negro
ESP000854,24.48,15.25,11.21,9.14,6.35,8.12,12.3,13,3.31,10.12,6.06,5.14,3.8,1.87,1.17,2.9,10,50,0.56,305,2.18,0.502,0.413,214.0,1114.1,14.73,40.67,metalico
ESP000855,23.93,15.46,11.44,8.48,6.32,9.81,10.24,12,4.46,12.62,6.17,2.97,4.28,1.51,0.92,2.74,9,68,0.59,312,2.09,0.428,0.527,213.5,1342.8,23.4,58.24,metalico
ESP000856,11.85,7.03,5.39,3.96,2.9,1.68,3.45,9,6.74,5.76,2.27,1.0,4.06,1.34,0.54,1.8,7,59,0.64,35,2.2,0.291,0.486,49.8,53.7,4.5,14.39,metalico
ESP000857,25.32,15.77,11.58,9.0,6.03,8.2,12.38,11,4.21,13.95,6.45,5.54,4.34,1.07,0.48,2.61,12,68,0.56,324,2.19,0.489,0.551,228.7,1202.1,15.7,42.98,metalico
ESP000858,9.35,5.76,4.19,3.47,2.24,2.43,5.35,7,2.75,7.61,5.53,7.91,3.18,1.47,1.5,0.75,8,50,1.5,13,2.23,0.572,0.814,30.6,47.6,9.05,22.29,marron
ESP000859,24.31,14.98,10.37,8.68,5.75,6.44,9.7,13,3.97,9.76,4.36,3.54,5.19,1.99,1.09,2.74,11,60,0.23,306,2.34,0.399,0.401,196.6,811.7,16.05,42.47,negro
ESP000860,9.48,6.27,3.8,2.89,2.47,6.38,4.14,10,5.67,5.99,5.33,5.09,2.16,1.43,0.88,1.13,8,45,0.66,5,2.49,0.437,0.632,28.1,114.9,8.37,20.54,marron
ESP000861,19.37,11.97,9.24,7.43,5.11,9.26,10.72,13,9.15,13.48,2.17,2.47,3.48,1.97,0.2,2.13,14,73,0.87,238,2.1,0.553,0.696,139.6,828.7,17.96,45.16,negro
ESP000862,23.38,14.29,11.7,9.8,6.16,7.19,10.44,12,3.65,14.68,5.63,3.74,3.9,1.8,0.95,2.31,12,35,0.47,327,2.0,0.447,0.628,213.4,983.4,14.01,39.72,negro
ESP000863,10.9,6.36,3.96,3.11,2.17,2.73,6.59,7,1.95,6.71,5.13,4.85,2.26,1.42,1.51,1.55,11,29,0.45,19,2.75,0.605,0.616,33.7,58.9,8.21,20.38,marron
ESP000864,13.44,8.35,5.66,4.39,3.37,2.16,5.75,7,5.89,3.74,2.97,1.0,3.11,1.61,0.82,1.38,4,86,0.6,95,2.37,0.428,0.278,59.3,82.2,9.41,24.48,negro
ESP000865,19.93,12.34,9.86,8.29,5.18,7.43,13.93,12,8.14,11.82,4.19,2.85,3.98,1.93,0.2,2.19,12,49,0.8,224,2.02,0.699,0.593,153.3,730.0,15.82,41.5,marron
ESP000866,18.62,11.24,9.31,7.39,5.12,8.53,7.5,11,6.13,12.92,4.05,3.79,2.81,2.38,0.44,2.43,11,51,0.92,258,2.0,0.403,0.694,135.2,739.3,16.99,43.29,metalico
ESP000867,13.95,8.91,5.44,4.28,3.03,2.72,5.59,8,4.13,6.17,4.65,1.0,2.03,1.94,0.99,0.2,9,60,0.1,43,2.56,0.401,0.442,59.2,103.2,6.51,18.46,negro
ESP000868,23.14,14.87,11.34,9.34,6.59,8.01,12.98,13,3.03,18.85,6.29,4.31,4.63,2.25,0.72,3.39,10,62,0.37,299,2.04,0.561,0.815,204.7,1050.9,22.34,56.02,metalico
ESP000869,11.53,7.2,5.53,4.25,3.12,2.57,5.39,8,7.81,5.25,2.95,1.0,1.3,1.41,0.94,0.48,6,46,0.72,77,2.08,0.467,0.455,49.7,81.9,10.33,26.19,marron
ESP000870,11.32,6.46,5.74,4.58,3.12,1.43,4.59,9,5.13,5.39,2.16,1.0,3.33,1.95,0.9,0.83,6,68,0.26,91,1.97,0.405,0.476,50.7,46.5,9.51,24.76,negro
ESP000871,20.56,13.05,9.73,6.97,5.34,6.63,9.02,13,6.41,14.98,4.12,5.74,3.76,1.55,0.53,2.9,14,54,0.87,225,2.11,0.439,0.729,156.0,663.2,20.33,50.39,negro
ESP000872,11.81,7.38,4.7,3.49,3.14,2.76,5.78,8,5.57,8.01,3.97,1.0,2.64,1.87,0.77,0.9,7,79,0.17,93,2.51,0.489,0.678,43.3,76.6,7.28,19.26,marron
ESP000873,13.14,7.31,4.72,3.42,2.39,3.18,3.36,7,5.48,7.96,1.82,1.35,3.01,1.35,0.62,1.05,7,46,0.19,48,2.78,0.256,0.606,48.4,98.6,9.83,24.38,marron
ESP000874,12.7,8.26,4.46,3.69,2.23,3.27,4.38,10,5.95,5.94,2.8,1.0,2.37,0.88,1.24,1.6,6,61,0.23,60,2.85,0.345,0.468,44.2,92.6,8.74,21.94,negro
ESP000875,17.88,11.25,9.69,7.46,5.11,7.2,7.36,14,9.17,12.56,2.11,4.84,3.46,1.82,0.97,3.04,13,63,0.19,229,1.85,0.412,0.702,135.1,623.7,18.6,46.89,marron
ESP000876,19.08,12.44,9.46,7.88,5.38,8.0,9.01,11,5.3,10.73,2.61,5.03,3.44,1.39,0.63,2.23,13,64,0.32,249,2.02,0.472,0.562,140.8,722.0,15.28,40.02,metalico
ESP000877,12.18,7.7,4.62,3.63,2.48,3.93,3.28,8,4.76,6.67,4.61,1.61,2.39,1.49,0.86,1.39,6,78,0.1,95,2.64,0.269,0.548,43.9,110.6,5.56,15.74,metalico
ESP000878,23.32,14.16,10.65,8.44,5.46,7.98,12.12,13,2.53,10.08,5.65,4.0,2.96,1.39,1.09,3.6,11,72,0.42,296,2.19,0.52,0.432,193.7,990.9,13.33,37.31,marron
ESP000879,8.96,5.4,3.9,3.29,1.97,5.19,5.93,8,4.06,11.82,6.23,6.3,1.12,1.61,1.31,0.72,10,41,0.54,35,2.3,0.662,1.319,27.3,90.7,12.12,28.14,negro
ESP000880,13.81,8.72,4.73,3.14,2.66,2.8,3.22,8,4.14,7.33,3.05,1.91,2.69,1.42,0.73,0.6,6,57,0.63,66,2.92,0.233,0.531,51.0,91.4,7.15,19.03,negro
ESP000881,14.19,8.68,5.33,4.18,3.23,4.19,4.82,10,4.88,6.95,4.53,1.61,3.71,2.02,0.65,1.49,7,62,0.45,69,2.66,0.34,0.49,59.0,158.5,7.25,19.83,marron
ESP000882,11.84,7.93,3.55,2.8,2.1,2.35,1.0,8,7.03,4.43,4.94,4.87,2.51,1.49,1.51,1.15,11,65,1.35,40,3.34,0.084,0.374,32.8,49.4,7.25,18.05,metalico
ESP000883,20.73,13.05,9.2,7.36,4.83,6.98,10.86,11,7.45,12.1,1.89,4.71,2.83,2.45,0.33,2.57,13,79,0.98,229,2.25,0.524,0.584,148.8,665.6,12.02,33.24,rojizo
ESP000884,19.05,11.83,10.39,8.7,5.88,5.09,11.77,12,6.83,11.51,2.92,3.64,2.85,2.01,0.28,2.58,11,58,0.26,229,1.83,0.618,0.604,154.4,503.7,22.07,54.53,metalico
ESP000885,12.59,8.23,5.31,4.58,2.82,3.63,7.8,8,6.61,6.62,3.44,1.0,2.54,1.31,0.89,1.59,4,68,0.1,44,2.37,0.62,0.526,52.1,121.3,6.61,18.53,metalico
ESP000886,12.77,7.71,4.9,4.25,2.81,2.84,4.16,5,5.13,5.25,4.05,1.0,2.78,1.31,0.98,0.98,6,40,0.73,56,2.61,0.326,0.411,48.8,88.9,9.76,24.42,marron
ESP000887,19.62,12.29,9.92,8.28,5.61,6.07,9.95,11,9.28,11.81,4.27,5.37,3.63,1.98,0.59,2.75,12,41,0.5,238,1.98,0.507,0.602,151.8,590.7,13.04,36.0,marron
ESP000888,22.65,13.95,10.69,9.0,5.88,7.69,12.66,11,4.11,18.99,5.45,3.99,4.5,2.07,0.66,3.68,9,66,0.74,307,2.12,0.559,0.838,188.9,931.0,19.17,49.03,marron
ESP000889,19.48,12.52,10.48,8.7,5.69,8.32,9.13,12,5.13,12.86,3.0,4.78,3.4,2.15,0.52,2.77,12,67,1.23,209,1.86,0.469,0.66,159.2,849.3,13.65,37.78,negro
ESP000890,13.44,7.77,4.94,3.84,2.76,2.89,3.23,8,4.25,8.42,4.36,1.0,3.15,0.97,1.08,1.05,7,66,0.28,53,2.72,0.24,0.626,51.8,95.9,4.96,14.86,metalico
ESP000891,11.53,7.4,4.48,3.76,2.18,4.86,4.35,7,5.7,6.22,3.85,1.0,2.11,1.32,1.24,0.93,6,47,0.27,52,2.57,0.377,0.539,40.3,125.5,10.8,26.08,negro
ESP000892,24.48,14.37,11.62,9.53,6.32,6.57,11.15,13,2.96,9.31,6.19,3.01,3.94,2.06,0.52,2.75,10,69,0.9,320,2.11,0.455,0.38,221.9,934.4,18.87,49.36,negro
ESP000893,17.78,10.97,9.56,7.45,5.1,5.21,7.8,12,4.3,10.55,2.2,4.43,4.06,1.98,0.23,1.93,10,73,0.36,236,1.86,0.439,0.593,132.6,442.8,13.27,36.1,metalico
ESP000894,19.75,12.4,9.8,8.13,5.53,9.12,8.7,13,8.58,12.68,1.82,4.21,3.01,1.29,0.3,2.33,15,78,0.75,230,2.02,0.441,0.642,151.0,882.6,13.32,36.44,marron
ESP000895,11.62,7.43,4.84,3.59,2.49,2.46,7.76,9,4.72,6.18,4.63,1.0,4.16,1.58,1.02,0.31,5,58,0.75,26,2.4,0.668,0.532,43.9,69.2,9.41,23.66,negro
ESP000896,10.68,6.08,4.88,4.43,2.54,1.58,2.82,9,6.57,4.11,4.96,5.51,2.47,1.7,0.99,1.0,12,57,0.38,9,2.19,0.264,0.385,40.7,41.2,7.82,20.52,negro
ESP000897,18.43,11.41,9.57,7.13,5.13,5.56,9.28,12,6.41,9.81,4.23,4.25,3.55,2.37,0.81,2.55,12,24,0.1,266,1.93,0.504,0.532,137.6,490.3,16.57,42.71,rojizo
ESP000898,10.26,6.65,5.03,3.96,2.77,1.69,5.06,8,5.85,5.38,4.25,1.28,1.56,1.2,0.53,0.94,6,41,0.2,59,2.04,0.493,0.524,40.3,43.6,8.5,22.03,marron
ESP000899,23.45,14.66,11.55,9.19,6.17,7.9,13.07,12,3.14,14.76,8.07,3.53,4.42,1.2,0.8,2.46,10,66,0.1,326,2.03,0.557,0.629,211.3,1069.8,16.07,43.69,metalico
ESP000900,11.48,6.46,4.53,3.78,2.16,3.14,5.13,9,8.55,5.73,1.48,1.0,2.63,2.36,1.0,1.27,5,30,0.61,23,2.53,0.447,0.499,40.6,81.6,7.31,19.15,negro
ESP000901,9.68,5.94,3.81,2.71,2.22,4.18,4.05,6,5.94,6.05,5.41,6.47,1.26,2.27,1.05,1.84,11,71,0.82,5,2.54,0.418,0.625,28.8,77.1,10.04,23.89,marron
ESP000902,19.57,12.64,9.53,7.36,5.24,8.54,9.59,12,7.16,16.03,3.94,4.99,3.0,1.73,0.67,1.51,11,69,1.24,221,2.05,0.49,0.819,145.5,796.4,15.89,41.31,negro
ESP000903,10.39,6.31,3.54,3.02,1.99,4.13,4.22,6,2.44,6.74,4.93,4.89,2.54,1.43,1.18,1.67,8,69,0.93,18,2.94,0.406,0.649,28.7,76.0,9.66,22.86,negro
ESP000904,13.44,8.47,5.55,4.19,3.34,2.84,5.73,6,8.15,9.84,4.68,1.0,2.18,2.32,0.99,0.3,7,51,0.27,63,2.42,0.426,0.732,58.2,105.9,10.54,26.63,marron
ESP000905,18.34,11.22,9.37,7.96,5.33,7.16,8.54,13,7.54,9.29,1.66,4.74,3.56,2.4,0.22,2.74,11,58,0.54,215,1.96,0.466,0.507,134.0,615.2,17.57,44.51,negro
ESP000906,12.6,7.55,4.93,4.06,2.81,4.06,7.41,7,5.22,6.72,4.98,1.0,2.64,1.86,0.78,1.01,6,52,0.49,96,2.56,0.588,0.533,48.5,126.1,6.1,17.13,negro
ESP000907,12.44,8.33,2.67,2.28,1.78,3.68,6.39,8,3.8,4.81,5.29,6.19,1.75,1.67,1.48,1.03,10,31,1.09,15,4.66,0.514,0.387,25.9,61.1,9.38,21.43,negro
ESP000908,12.05,7.33,5.94,4.94,3.33,3.01,2.17,8,5.11,7.62,3.37,1.23,3.49,1.46,0.83,0.46,7,45,0.1,47,2.03,0.18,0.632,55.8,107.7,9.56,25.06,marron
ESP000909,10.62,6.95,3.8,3.25,2.24,3.37,5.87,7,3.08,10.65,6.27,4.79,2.7,1.47,0.98,0.96,12,47,1.22,11,2.79,0.553,1.003,31.5,68.0,8.1,20.0,negro
ESP000910,20.98,13.34,9.3,7.44,5.19,7.09,12.78,12,6.16,14.36,2.14,3.42,2.58,1.59,0.35,1.72,14,66,1.15,232,2.26,0.609,0.684,152.2,691.7,16.64,42.58,marron
ESP000911,12.62,7.51,4.34,3.44,2.31,4.14,5.15,6,5.46,4.11,3.37,1.0,1.94,1.53,0.79,0.9,7,91,0.1,66,2.91,0.408,0.326,42.7,113.4,11.08,26.5,negro
ESP000912,13.68,8.51,6.34,5.7,3.49,3.56,6.51,7,2.62,7.41,2.95,1.0,2.67,2.83,0.84,1.59,5,55,0.36,85,2.16,0.476,0.542,67.7,154.4,6.1,18.54,negro
ESP000913,10.09,6.45,3.94,3.68,2.28,3.05,5.74,9,4.16,5.9,5.17,6.14,2.8,1.17,1.66,0.4,7,44,1.41,25,2.56,0.569,0.585,31.0,60.6,6.93,17.8,negro
ESP000914,25.48,16.6,10.07,8.08,5.54,8.11,13.28,13,1.83,14.01,2.9,2.97,2.98,1.89,0.87,2.8,13,48,0.1,325,2.53,0.521,0.55,200.1,1040.4,16.08,42.23,marron
ESP000915,9.33,5.49,4.35,3.58,2.27,2.75,4.49,9,4.52,9.45,6.51,6.58,2.46,1.73,1.25,1.44,11,60,0.88,32,2.14,0.481,1.013,31.7,55.8,16.77,37.89,negro
ESP000916,26.05,16.81,10.73,8.8,5.03,6.48,11.54,11,2.51,12.45,4.89,3.92,4.68,1.59,1.33,2.38,11,66,0.49,321,2.43,0.443,0.478,218.0,905.6,15.99,42.71,negro
ESP000917,9.8,5.86,4.12,2.94,2.1,3.26,7.01,9,5.02,6.63,5.23,4.97,1.38,1.91,0.93,0.75,12,41,0.18,5,2.38,0.715,0.677,31.5,65.8,11.49,27.1,negro
ESP000918,20.2,12.21,9.19,7.53,4.65,7.62,8.1,11,8.75,9.66,4.2,4.08,4.55,1.02,0.72,2.99,12,39,0.25,238,2.2,0.401,0.478,144.8,707.3,18.55,46.29,metalico
ESP000919,10.46,6.62,3.95,2.53,2.02,1.53,6.06,9,2.15,3.28,5.32,4.43,3.55,1.93,1.05,1.06,7,64,1.33,22,2.65,0.579,0.314,32.2,31.6,3.0,9.95,marron
ESP000920,10.63,7.33,4.56,3.84,2.63,3.23,6.87,7,5.65,3.4,4.28,1.0,2.38,1.26,1.3,0.35,6,76,0.23,67,2.33,0.646,0.32,37.8,78.3,6.29,17.14,negro
ESP000921,23.82,13.94,10.28,8.11,6.0,6.67,12.16,12,4.52,12.88,4.94,4.55,4.86,1.82,1.12,2.03,10,63,0.31,302,2.32,0.51,0.541,191.0,816.6,17.11,44.5,marron
ESP000922,21.69,13.02,8.93,6.88,5.11,6.3,7.68,10,5.91,12.89,3.39,4.63,3.6,2.11,0.22,2.95,16,65,0.67,260,2.43,0.354,0.594,151.1,610.1,16.58,42.09,negro
ESP000923,9.56,6.21,3.14,2.08,1.69,2.17,5.02,7,5.59,10.63,3.92,5.14,2.56,1.33,0.89,0.4,9,65,1.14,5,3.04,0.525,1.112,23.4,32.6,4.19,11.52,negro
ESP000924,12.19,8.17,4.82,4.06,2.5,3.2,7.3,8,6.77,4.67,3.52,1.0,2.28,1.95,0.47,0.2,4,66,0.27,79,2.53,0.599,0.383,45.8,94.0,9.38,23.58,metalico
ESP000925,10.42,6.64,3.37,2.7,1.82,3.68,2.27,9,5.46,5.43,4.74,5.35,3.02,1.49,1.61,1.35,12,24,0.98,34,3.09,0.218,0.521,27.4,64.6,11.43,26.23,marron
ESP000926,9.43,6.04,3.27,3.13,1.78,2.32,2.94,7,6.6,11.56,6.82,6.74,3.49,1.83,1.36,0.86,9,30,0.62,13,2.88,0.312,1.226,24.1,35.8,3.85,10.97,marron
ESP000927,24.06,16.03,10.59,7.73,5.85,7.38,11.99,12,4.57,14.99,4.35,5.03,2.38,1.83,1.08,2.51,12,70,0.76,318,2.27,0.498,0.623,198.7,940.2,12.64,35.87,metalico
ESP000928,12.17,7.68,4.37,3.59,2.67,3.03,4.36,6,5.99,8.64,3.6,1.0,3.23,1.76,0.77,1.47,7,64,0.74,35,2.78,0.358,0.71,41.5,80.6,5.31,14.99,marron
ESP000929,17.48,10.48,9.88,8.31,5.37,7.64,10.77,10,5.66,11.83,2.64,4.89,4.41,1.69,0.48,2.12,14,88,0.38,203,1.77,0.616,0.677,134.7,659.7,14.78,39.44,marron
ESP000930,9.74,6.77,3.73,2.74,2.0,1.25,5.53,9,4.92,9.78,4.11,5.14,2.06,1.42,1.41,0.89,11,60,1.63,13,2.61,0.568,1.004,28.3,22.7,8.48,20.69,negro
ESP000931,24.69,15.39,10.53,8.23,6.07,6.88,11.82,10,5.02,14.84,6.31,3.56,4.55,1.53,1.09,2.73,9,62,0.43,291,2.34,0.479,0.601,202.8,894.4,19.71,49.95,metalico
