id_prestamo,edad,ingresos_mensuales_eur,ingresos_conyuge_eur,importe_prestamo_eur,plazo_meses,cuota_mensual_eur,ratio_endeudamiento,ratio_cuota_ingreso,antiguedad_empleo_anos,antiguedad_cliente_anos,num_prestamos_previos,num_prestamos_activos,num_impagos_previos,dias_mora_max_historico,score_credito,score_externo,saldo_medio_cuenta_eur,num_productos_contratados,patrimonio_declarado_eur,num_consultas_buro_6m,tasa_interes_pct,gastos_fijos_mensuales_eur,finalidad,tipo_empleo,regimen_vivienda,nivel_estudios,sector_actividad,tiene_avalista,impago
PRE002728,33,2140,1772,19734,41,520,24.3,13.3,8.0,7.8,1,2,0,0,601,605,1710,4,80117,0,3.8,958,coche,fijo,alquiler,superior,publico,no,0
PRE002729,27,1825,515,6927,50,150,8.2,6.4,10.0,7.4,1,0,1,5,738,603,4088,1,36140,2,15.7,1212,consumo,funcionario,hipoteca,superior,industria,no,0
PRE002730,32,1320,686,1000,55,20,1.5,1.0,0.7,2.2,3,2,0,0,586,569,9069,3,9670,2,6.5,1002,consumo,temporal,propiedad,superior,publico,si,0
PRE002731,48,2777,146,19204,35,593,21.3,20.3,4.1,1.8,1,1,0,11,699,486,4081,5,135522,1,10.3,1770,coche,fijo,propiedad,superior,industria,no,0
PRE002732,39,701,146,16338,55,321,45.7,37.9,0.0,1.9,1,1,0,0,604,578,3989,1,166773,2,7.2,819,coche,autonomo,propiedad,basico,agrario,no,0
PRE002733,36,3772,1958,2610,31,91,2.4,1.6,8.2,1.6,1,0,0,11,620,748,1478,4,44601,2,3.1,639,negocio,autonomo,propiedad,basico,servicios,no,0
PRE002734,50,2963,0,16448,29,613,20.7,20.7,11.6,4.7,2,0,0,0,648,467,6063,5,93551,2,9.7,1027,vivienda,temporal,hipoteca,basico,industria,si,0
PRE002735,46,1676,348,14609,66,239,14.3,11.8,3.2,13.1,2,3,0,13,581,704,-140,4,0,1,8.9,618,negocio,funcionario,hipoteca,medio,publico,no,1
PRE002736,51,2683,3247,10894,13,905,33.7,15.3,8.3,16.1,0,0,0,46,756,604,1625,3,63019,2,7.5,779,vivienda,fijo,hipoteca,superior,servicios,no,0
PRE002737,56,3038,1250,1000,57,19,0.6,0.4,19.3,6.5,0,1,1,23,746,428,-82,2,136311,3,7.1,1021,vivienda,autonomo,alquiler,medio,industria,si,0
PRE002738,41,2164,1410,12569,49,277,12.8,7.7,14.7,3.0,0,2,1,21,779,356,4460,4,68739,1,9.1,1279,negocio,funcionario,propiedad,medio,agrario,si,0
PRE002739,59,3682,1880,9414,69,147,4.0,2.6,0.0,3.9,0,2,1,5,578,414,2609,3,144522,3,5.2,969,consumo,fijo,propiedad,medio,servicios,no,0
PRE002740,18,1259,0,18656,81,249,19.8,19.8,0.0,4.4,0,1,1,4,632,805,2223,1,0,4,7.0,1679,consumo,fijo,alquiler,basico,publico,no,0
PRE002741,27,1234,0,15303,47,352,28.5,28.5,10.6,1.3,2,2,1,26,525,746,186,4,121622,3,12.7,1245,coche,funcionario,hipoteca,medio,servicios,si,0
PRE002742,46,3057,119,30602,39,847,27.7,26.7,0.3,3.2,2,2,2,1,609,568,1225,3,117852,3,11.1,570,coche,fijo,hipoteca,superior,servicios,no,1
PRE002743,67,3305,682,13687,43,344,10.4,8.6,6.5,9.0,0,1,0,3,674,733,9053,5,0,5,9.3,773,consumo,temporal,alquiler,medio,construccion,si,1
PRE002744,58,931,1669,3239,45,78,8.4,3.0,6.3,7.3,1,1,1,0,558,732,6594,2,0,1,16.9,1598,vivienda,autonomo,hipoteca,medio,agrario,si,1
PRE002745,47,2915,43,12633,47,290,9.9,9.8,7.9,3.6,3,2,1,19,629,737,2906,3,0,2,6.3,1125,consumo,autonomo,propiedad,medio,publico,no,0
PRE002746,36,2462,1394,7578,35,234,9.5,6.1,2.0,11.8,0,1,1,14,696,444,1874,4,39584,0,5.8,1754,coche,autonomo,alquiler,medio,publico,no,0
PRE002747,48,2172,1373,15065,115,141,6.5,4.0,0.0,11.2,0,1,0,28,552,632,-1458,3,37740,0,7.1,471,consumo,fijo,propiedad,medio,servicios,si,0
PRE002748,38,700,1109,1000,67,16,2.3,0.9,16.1,2.8,0,0,0,0,651,408,3844,4,186963,0,7.6,1155,estudios,fijo,hipoteca,medio,agrario,no,0
PRE002749,44,1623,1946,17847,65,297,18.3,8.3,18.7,11.7,1,1,0,32,681,588,-2000,4,30394,3,10.0,376,vivienda,temporal,hipoteca,medio,servicios,no,0
PRE002750,29,2282,1323,1540,6,277,12.1,7.7,1.4,5.3,0,0,2,16,561,676,-475,4,63438,5,7.9,727,coche,fijo,hipoteca,medio,industria,no,0
PRE002751,47,1295,843,11275,92,132,10.2,6.2,8.7,13.4,2,1,0,33,540,855,8296,2,88206,0,5.1,681,consumo,fijo,hipoteca,superior,servicios,no,1
PRE002752,60,1810,994,20980,94,241,13.3,8.6,2.4,9.7,0,0,0,0,520,599,1602,5,0,4,10.4,797,coche,fijo,propiedad,superior,construccion,si,0
PRE002753,28,2304,1391,10610,43,266,11.5,7.2,0.0,7.4,0,0,0,28,610,765,-1729,3,84167,0,8.9,1312,estudios,temporal,propiedad,basico,publico,si,0
PRE002754,37,1647,1715,17701,50,382,23.2,11.4,9.3,13.4,3,0,1,43,620,697,3082,5,26805,1,8.9,1136,estudios,fijo,propiedad,medio,servicios,no,1
PRE002755,59,1218,537,19987,54,400,32.8,22.8,9.8,0.9,2,0,2,29,528,772,2725,1,0,0,15.1,787,consumo,temporal,propiedad,medio,servicios,si,0
PRE002756,47,2526,383,19216,87,239,9.5,8.2,5.5,11.4,0,0,0,0,531,636,4618,3,3910,3,3.0,945,consumo,fijo,hipoteca,superior,publico,no,0
PRE002757,46,4228,535,1124,39,31,0.7,0.7,3.1,7.6,2,0,0,12,651,686,5634,3,56513,0,10.2,1338,consumo,autonomo,propiedad,superior,servicios,no,0
PRE002758,46,1737,0,13556,67,219,12.6,12.6,0.0,8.6,1,3,0,0,499,634,12135,2,0,3,10.8,1158,vivienda,fijo,alquiler,basico,construccion,no,0
PRE002759,63,1589,1539,1000,69,16,1.0,0.5,5.5,11.9,1,1,0,0,656,697,7447,0,116029,0,8.5,100,consumo,temporal,alquiler,medio,construccion,no,0
PRE002760,45,2845,985,10140,62,177,6.2,4.6,5.3,1.1,1,0,0,44,717,517,-570,2,95085,1,10.1,895,consumo,fijo,hipoteca,superior,construccion,no,0
PRE002761,31,3791,1269,8276,81,110,2.9,2.2,7.3,15.0,1,0,1,61,547,696,6771,3,89190,3,7.4,1666,consumo,fijo,propiedad,medio,agrario,no,0
PRE002762,40,3548,1249,14760,17,938,26.4,19.5,2.4,3.5,0,1,0,4,762,621,6312,3,51526,1,7.3,100,negocio,temporal,alquiler,medio,construccion,no,1
PRE002763,53,1873,1499,8892,49,196,10.5,5.8,6.7,3.4,0,3,2,13,483,366,5154,4,39117,1,5.5,282,consumo,fijo,alquiler,superior,construccion,no,1
PRE002764,56,2732,1299,1000,66,16,0.6,0.4,4.1,11.0,2,2,1,11,684,625,401,3,50732,1,11.7,1223,vivienda,temporal,alquiler,medio,industria,no,0
PRE002765,49,2154,1428,16860,23,792,36.8,22.1,6.5,7.7,2,0,1,4,587,640,6615,4,89133,4,9.6,2102,negocio,fijo,propiedad,medio,servicios,si,0
PRE002766,52,2511,4116,13545,87,168,6.7,2.5,0.2,11.6,1,1,1,0,757,498,530,4,105211,3,6.7,961,consumo,temporal,hipoteca,superior,publico,si,0
PRE002767,32,2358,1871,9105,62,159,6.7,3.8,1.5,3.8,0,1,0,47,833,677,2352,1,101414,0,12.4,108,negocio,fijo,alquiler,basico,construccion,no,0
PRE002768,32,2181,1159,3517,34,112,5.1,3.4,13.5,0.0,2,1,0,11,745,503,908,5,75781,0,8.6,1666,consumo,fijo,alquiler,medio,servicios,no,0
PRE002769,32,1574,1469,20629,15,1485,94.3,48.8,6.0,9.4,0,1,0,29,673,702,2504,2,97336,2,8.8,1118,vivienda,autonomo,hipoteca,superior,servicios,no,1
PRE002770,26,3048,1001,22639,71,344,11.3,8.5,11.7,4.1,0,0,0,12,573,599,2054,3,68237,1,10.8,599,consumo,fijo,alquiler,basico,servicios,no,0
PRE002771,53,1973,1768,4141,52,86,4.4,2.3,6.1,12.9,4,2,1,29,516,610,4533,4,0,2,10.6,943,negocio,fijo,propiedad,medio,servicios,no,1
PRE002772,25,3167,1145,8719,47,200,6.3,4.6,3.7,5.1,1,2,0,0,538,645,4869,6,20756,3,11.1,1362,consumo,temporal,alquiler,medio,servicios,no,1
PRE002773,54,2482,987,8831,26,367,14.8,10.6,6.7,9.0,0,2,1,11,708,597,473,4,65921,0,9.6,1573,coche,autonomo,propiedad,superior,agrario,si,0
PRE002774,51,2867,939,3304,55,65,2.3,1.7,11.6,0.0,2,1,0,4,669,685,2448,2,86088,0,8.4,537,coche,autonomo,hipoteca,basico,servicios,no,1
PRE002775,41,1737,824,5656,23,266,15.3,10.4,13.6,5.7,0,1,0,0,630,574,4041,4,93610,3,13.6,1097,vivienda,fijo,alquiler,medio,industria,si,0
PRE002776,47,4149,784,24938,29,929,22.4,18.8,2.2,6.8,2,1,0,0,570,719,6231,3,147527,0,9.1,1431,consumo,funcionario,hipoteca,basico,servicios,no,0
PRE002777,39,1858,1748,16529,57,313,16.8,8.7,14.1,16.5,2,2,0,15,674,582,5950,0,87669,2,6.5,1519,consumo,fijo,propiedad,medio,publico,no,0
PRE002778,39,2823,746,17860,55,351,12.4,9.8,8.4,0.0,0,1,0,0,565,767,1310,3,96832,2,10.1,100,negocio,temporal,alquiler,medio,servicios,no,1
PRE002779,24,3590,971,3640,69,57,1.6,1.2,8.4,0.0,1,3,0,21,698,731,5176,5,145581,0,10.1,1021,consumo,fijo,alquiler,medio,industria,no,0
PRE002780,43,1930,1436,1000,57,19,1.0,0.6,10.4,0.0,0,0,1,0,639,790,7374,4,0,2,8.0,1536,consumo,fijo,hipoteca,superior,agrario,si,0
PRE002781,44,2500,801,2823,28,109,4.4,3.3,0.0,1.6,0,1,1,0,503,552,5083,4,0,3,7.2,409,coche,fijo,propiedad,superior,servicios,si,1
PRE002782,44,1837,205,3622,47,83,4.5,4.1,3.5,6.0,1,3,0,18,568,395,5244,0,126022,5,10.9,150,coche,fijo,hipoteca,superior,servicios,si,0
PRE002783,24,2701,1336,20949,50,452,16.7,11.2,1.8,2.6,1,2,1,0,610,571,2030,3,36213,1,9.7,717,estudios,fijo,alquiler,basico,construccion,si,0
PRE002784,39,2614,1747,6388,68,101,3.9,2.3,7.4,9.3,0,1,0,0,544,738,1498,0,79400,2,9.5,920,estudios,fijo,hipoteca,medio,servicios,no,0
PRE002785,49,2761,1661,6862,66,112,4.1,2.5,2.8,12.6,2,2,0,8,679,665,-2000,4,3566,3,5.7,1297,coche,fijo,alquiler,medio,servicios,no,0
PRE002786,50,1535,1120,19939,39,552,35.9,20.8,4.5,2.0,0,0,0,0,678,714,3246,7,13015,5,8.0,976,consumo,fijo,propiedad,superior,servicios,si,0
PRE002787,34,1149,464,5835,24,263,22.9,16.3,8.9,10.3,1,1,0,0,670,491,3398,6,128161,0,6.4,1052,negocio,fijo,propiedad,superior,publico,no,0
PRE002788,31,817,651,5981,22,294,35.9,20.0,4.9,5.2,0,0,0,17,499,828,985,4,123282,4,10.1,745,vivienda,funcionario,alquiler,medio,servicios,no,1
PRE002789,63,1520,0,1969,17,125,8.2,8.2,10.5,10.1,0,1,0,43,606,394,-580,4,0,0,9.4,381,vivienda,temporal,hipoteca,basico,servicios,no,0
PRE002790,30,3372,402,15047,64,254,7.5,6.7,1.4,5.3,0,0,0,14,570,490,5102,3,126280,2,12.5,738,consumo,fijo,propiedad,superior,servicios,no,0
PRE002791,18,3719,903,19625,37,573,15.4,12.4,2.6,10.6,1,3,0,10,672,430,2546,3,123652,3,8.8,422,vivienda,temporal,alquiler,medio,servicios,si,0
PRE002792,59,2299,1018,8279,39,229,10.0,6.9,0.4,5.2,1,2,1,19,706,726,1735,7,0,1,8.9,1298,coche,autonomo,alquiler,basico,servicios,no,0
PRE002793,35,2489,791,12028,42,309,12.4,9.4,3.6,3.9,0,0,0,0,572,690,5388,0,28730,2,10.9,903,vivienda,fijo,propiedad,superior,industria,si,1
PRE002794,43,2704,731,8310,39,230,8.5,6.7,7.5,0.0,2,0,0,0,711,563,3707,6,0,1,7.7,537,consumo,temporal,propiedad,basico,agrario,no,0
PRE002795,43,956,654,23709,43,595,62.2,36.9,5.7,8.1,0,1,1,38,647,610,8385,0,86144,2,9.3,100,coche,autonomo,alquiler,medio,publico,no,0
PRE002796,48,700,0,1000,63,17,2.4,2.4,0.0,6.5,3,0,0,1,581,753,4927,3,117225,2,9.6,1097,coche,fijo,propiedad,superior,publico,no,0
PRE002797,38,1991,893,1000,28,39,2.0,1.4,4.6,9.0,0,0,1,0,527,709,-2000,4,101666,2,7.1,674,coche,temporal,alquiler,medio,servicios,no,0
PRE002798,60,2612,0,1000,52,21,0.8,0.8,3.1,0.0,2,0,0,4,563,637,5673,5,0,4,13.2,1823,consumo,fijo,propiedad,superior,servicios,no,1
PRE002799,42,2440,1135,22007,13,1828,74.9,51.1,4.7,9.5,2,1,0,10,742,550,3068,6,88575,0,8.7,957,consumo,temporal,propiedad,basico,agrario,no,0
PRE002800,50,700,1004,3432,52,71,10.1,4.2,10.5,0.0,2,1,0,0,576,625,-2000,1,73031,0,9.8,530,vivienda,temporal,hipoteca,medio,agrario,no,0
PRE002801,35,3202,1726,7418,61,131,4.1,2.7,6.2,15.1,0,1,1,0,613,511,3780,3,88785,2,9.5,1971,coche,autonomo,hipoteca,medio,servicios,no,0
PRE002802,48,1570,1934,24385,33,798,50.8,22.8,0.0,12.2,0,0,0,9,593,674,5025,4,179969,3,9.6,282,coche,autonomo,alquiler,superior,servicios,no,0
PRE002803,52,1627,280,5877,73,87,5.3,4.6,9.3,4.9,1,2,0,34,629,867,5494,0,91959,0,6.6,928,coche,temporal,hipoteca,superior,servicios,no,1
PRE002804,33,2358,1154,13316,63,228,9.7,6.5,5.3,7.2,1,0,0,10,628,382,-1699,1,177766,3,10.5,1000,coche,fijo,alquiler,basico,servicios,no,0
PRE002805,44,3195,1478,17224,80,233,7.3,5.0,8.0,7.8,3,0,1,0,629,584,3757,7,115974,4,5.0,1429,coche,autonomo,propiedad,basico,servicios,no,1
PRE002806,56,1926,0,18420,53,375,19.5,19.5,4.9,4.4,2,1,0,0,714,583,2081,3,122779,4,13.6,1360,coche,funcionario,propiedad,basico,publico,no,0
PRE002807,48,1749,0,17068,42,439,25.1,25.1,10.7,5.9,1,3,1,34,556,472,3085,4,86210,0,7.8,275,consumo,fijo,hipoteca,basico,agrario,no,0
PRE002808,41,3063,0,7651,61,135,4.4,4.4,11.9,12.0,2,0,0,39,662,445,6178,4,0,3,9.1,1115,consumo,fijo,alquiler,superior,publico,no,0
PRE002809,26,2069,126,8855,29,330,15.9,15.0,13.3,0.0,2,1,0,0,581,681,505,2,149083,2,8.5,332,vivienda,autonomo,hipoteca,medio,servicios,no,0
PRE002810,49,1571,1320,17600,50,380,24.2,13.1,9.4,9.9,2,0,1,60,720,483,-2000,2,0,5,11.4,845,negocio,autonomo,propiedad,medio,publico,si,0
PRE002811,57,2760,858,16845,81,225,8.1,6.2,13.5,1.7,1,1,0,12,740,426,5455,0,79050,3,10.9,846,consumo,funcionario,hipoteca,medio,publico,si,0
PRE002812,33,931,996,17381,33,569,61.1,29.5,1.7,0.4,0,2,1,0,525,625,-2000,3,0,0,3.0,976,vivienda,funcionario,propiedad,medio,industria,no,1
PRE002813,54,3961,224,14715,45,353,8.9,8.4,7.1,19.6,2,1,0,0,727,481,5807,2,39006,0,12.8,1632,consumo,fijo,alquiler,superior,publico,no,0
PRE002814,35,1746,1599,12772,32,431,24.7,12.9,3.7,0.0,1,1,0,0,552,575,2768,2,0,2,6.6,717,coche,autonomo,hipoteca,medio,servicios,no,0
PRE002815,27,1830,2290,8993,83,117,6.4,2.8,10.2,17.4,1,2,0,20,536,479,-815,5,58091,1,10.6,819,coche,fijo,alquiler,superior,industria,no,0
PRE002816,37,2132,1974,14481,79,198,9.3,4.8,11.9,20.0,2,0,1,49,616,506,1916,4,54903,2,12.3,1330,consumo,fijo,hipoteca,basico,agrario,no,0
PRE002817,45,2754,1509,6233,41,164,6.0,3.8,4.6,9.0,3,2,1,17,765,684,-1066,6,76245,0,8.2,1965,consumo,temporal,hipoteca,medio,servicios,no,0
PRE002818,37,2625,1501,8518,34,271,10.3,6.6,6.2,6.7,0,0,0,16,561,473,15969,4,33092,1,4.7,1228,negocio,fijo,alquiler,medio,agrario,no,0
PRE002819,36,2420,2010,7822,59,143,5.9,3.2,11.0,11.3,2,1,1,37,771,840,3180,6,151853,0,8.9,1093,consumo,autonomo,alquiler,superior,industria,no,0
PRE002820,27,2144,2705,24349,32,822,38.3,16.9,2.4,0.0,1,1,1,2,591,543,4148,3,180569,0,10.7,313,coche,temporal,hipoteca,superior,servicios,no,1
PRE002821,39,1825,1147,1176,56,23,1.3,0.8,1.8,8.9,0,1,1,16,529,710,1847,3,12005,0,12.2,981,coche,temporal,hipoteca,medio,servicios,no,1
PRE002822,48,2734,0,20237,25,874,32.0,32.0,1.6,3.6,1,0,0,37,573,528,6968,2,409,2,9.9,1127,vivienda,autonomo,propiedad,medio,publico,no,1
PRE002823,40,4239,593,16593,52,345,8.1,7.1,8.7,9.1,2,1,1,33,579,873,10177,2,0,1,4.9,1234,vivienda,fijo,propiedad,basico,servicios,no,0
PRE002824,42,2908,709,5840,58,109,3.7,3.0,4.5,10.0,3,2,1,10,650,636,4192,1,0,5,6.0,486,coche,fijo,hipoteca,basico,agrario,no,0
PRE002825,42,2485,647,26829,51,568,22.8,18.1,3.2,4.0,0,1,0,13,585,613,5509,5,30415,2,6.8,407,vivienda,autonomo,propiedad,superior,publico,no,0
PRE002826,47,1870,1459,39855,49,878,46.9,26.4,0.0,7.5,2,0,0,16,612,745,4987,2,49169,2,15.4,1410,negocio,temporal,propiedad,basico,servicios,si,1
PRE002827,37,2585,177,21848,14,1685,65.2,61.0,4.6,8.7,1,1,0,22,688,624,-2000,2,125406,4,11.5,1105,coche,temporal,hipoteca,superior,publico,no,0
PRE002828,52,2526,2349,8597,56,166,6.6,3.4,0.9,1.8,0,2,0,35,729,681,4959,8,139428,0,6.7,966,negocio,fijo,hipoteca,basico,publico,si,0
PRE002829,67,2979,1105,15705,57,298,10.0,7.3,10.1,3.8,1,0,0,0,586,823,7695,0,0,0,4.0,1091,estudios,temporal,alquiler,superior,servicios,no,0
PRE002830,39,3726,1961,8416,48,189,5.1,3.3,6.8,0.0,2,2,0,26,609,572,10296,5,0,1,3.2,941,coche,autonomo,hipoteca,medio,servicios,si,0
PRE002831,30,2195,768,11509,65,191,8.7,6.4,7.5,11.9,3,0,0,0,603,707,4286,1,37378,1,7.6,563,vivienda,funcionario,alquiler,superior,construccion,no,0
PRE002832,48,2245,2044,10336,53,211,9.4,4.9,16.0,7.9,4,2,0,26,613,604,5969,1,178252,3,10.8,797,coche,fijo,propiedad,medio,agrario,si,0
PRE002833,31,2055,2078,12578,73,186,9.0,4.5,15.7,6.3,5,1,1,0,532,752,1723,1,98776,0,7.5,353,negocio,fijo,propiedad,basico,construccion,si,0
PRE002834,62,2406,247,7157,41,189,7.9,7.1,3.7,8.0,3,2,0,0,658,481,6206,6,169987,3,9.4,1020,vivienda,fijo,hipoteca,medio,publico,no,0
PRE002835,44,3461,1905,17023,39,471,13.6,8.8,1.4,26.2,3,1,0,26,654,380,2811,2,0,0,12.8,548,negocio,temporal,propiedad,basico,servicios,no,1
PRE002836,27,2132,2707,22791,35,703,33.0,14.5,13.8,0.0,0,0,0,0,680,866,10377,6,50260,5,12.2,1284,negocio,fijo,alquiler,medio,industria,no,1
PRE002837,47,1799,2787,14846,43,373,20.7,8.1,0.0,5.4,0,0,0,4,586,649,596,0,0,3,10.0,1658,vivienda,fijo,propiedad,medio,industria,no,0
PRE002838,49,1974,0,4513,21,232,11.7,11.7,10.8,4.7,0,3,0,0,711,693,8547,4,108946,0,7.6,828,consumo,fijo,alquiler,medio,agrario,si,0
PRE002839,32,3015,884,5199,69,81,2.7,2.1,4.5,0.2,2,0,0,0,581,588,5577,5,60563,1,3.0,475,coche,funcionario,propiedad,superior,industria,no,0
PRE002840,57,2632,2020,22545,73,334,12.7,7.2,10.3,8.1,1,1,0,37,550,631,2317,1,0,2,4.6,2257,vivienda,temporal,alquiler,basico,agrario,no,0
PRE002841,46,1196,0,17358,30,625,52.2,52.2,4.7,5.7,0,0,0,19,489,542,-2000,3,72354,3,6.8,265,estudios,temporal,alquiler,basico,industria,si,1
PRE002842,49,2848,544,7059,70,109,3.8,3.2,17.9,12.9,0,2,1,0,598,862,3902,4,53793,1,8.6,166,consumo,fijo,alquiler,superior,servicios,no,0
PRE002843,52,918,0,11150,54,223,24.3,24.3,8.1,5.3,2,2,1,0,564,572,1660,4,172668,0,10.9,696,consumo,fijo,hipoteca,superior,publico,no,0
PRE002844,40,3302,0,8938,31,311,9.4,9.4,11.5,0.0,2,1,1,0,556,611,7215,6,0,0,9.9,100,coche,temporal,alquiler,medio,servicios,no,0
PRE002845,56,2254,1767,12897,63,221,9.8,5.5,0.0,12.6,0,1,0,43,571,835,1702,4,35176,0,3.6,100,consumo,temporal,alquiler,medio,servicios,no,1
PRE002846,60,2643,349,7068,16,477,18.0,15.9,8.8,9.4,0,1,0,4,626,768,4826,1,0,1,11.0,624,vivienda,autonomo,propiedad,medio,industria,si,0
PRE002847,36,2135,751,10775,82,142,6.6,4.9,2.2,0.0,3,2,0,0,568,538,654,3,80054,2,11.0,582,consumo,fijo,alquiler,basico,construccion,no,0
PRE002848,43,700,1466,14012,46,329,46.9,15.2,3.5,2.1,1,1,0,18,725,582,43,5,0,5,3.5,1176,vivienda,autonomo,propiedad,basico,servicios,no,0
PRE002849,35,1108,860,1000,51,21,1.9,1.1,4.0,10.2,2,0,1,0,593,795,2512,6,89715,0,8.1,629,coche,temporal,propiedad,superior,industria,no,1
PRE002850,42,1330,250,13223,48,298,22.4,18.8,11.7,2.9,0,0,1,10,704,605,1845,4,0,3,8.1,868,coche,temporal,alquiler,medio,servicios,si,0
PRE002851,57,1452,2211,13410,40,362,24.9,9.9,0.3,11.5,0,0,0,13,603,632,1003,1,109636,1,7.7,1832,consumo,temporal,hipoteca,medio,construccion,no,0
PRE002852,40,1809,1438,16192,48,364,20.1,11.2,8.7,3.8,1,0,2,0,638,675,5048,3,0,1,4.1,1102,negocio,fijo,hipoteca,basico,publico,no,0
PRE002853,33,1796,529,23548,52,489,27.2,21.0,13.3,0.0,2,1,0,0,625,648,1409,4,0,0,10.3,100,consumo,fijo,hipoteca,medio,publico,si,0
PRE002854,36,1154,1338,4209,58,78,6.8,3.1,2.1,10.6,3,2,0,69,580,584,4834,4,116173,3,6.6,780,vivienda,temporal,alquiler,basico,construccion,no,1
PRE002855,32,936,329,9776,41,258,27.5,20.4,5.7,5.2,1,1,0,0,597,643,3136,3,76316,3,11.5,452,negocio,autonomo,hipoteca,basico,agrario,no,0
PRE002856,28,913,810,27150,58,506,55.4,29.4,9.8,0.0,1,1,0,29,672,555,4939,6,6771,3,6.8,1368,coche,fijo,alquiler,basico,publico,no,0
PRE002857,41,3596,148,31266,52,649,18.0,17.3,11.2,3.9,0,1,1,0,563,598,345,3,0,2,9.8,332,coche,temporal,hipoteca,superior,servicios,no,0
PRE002858,30,2490,1280,20871,84,268,10.8,7.1,9.3,10.1,0,0,0,30,668,686,4016,1,108939,0,5.7,513,consumo,fijo,hipoteca,basico,industria,si,0
PRE002859,60,1410,1414,4983,23,234,16.6,8.3,3.2,2.8,3,2,1,0,642,430,3818,0,95182,0,10.1,1373,coche,fijo,propiedad,medio,construccion,no,0
PRE002860,39,1204,1742,12120,27,485,40.2,16.5,9.0,0.0,1,0,1,0,710,921,11294,0,154511,0,6.7,1959,consumo,fijo,alquiler,basico,servicios,no,0
PRE002861,29,3033,1571,10872,31,379,12.5,8.2,7.5,12.8,2,1,0,6,530,774,1746,5,166477,2,9.2,1126,vivienda,autonomo,alquiler,basico,publico,no,1
PRE002862,53,2676,1508,3065,94,35,1.3,0.8,12.2,6.2,1,2,0,39,757,543,4435,0,204245,1,5.3,923,consumo,temporal,alquiler,medio,servicios,no,0
PRE002863,56,2566,65,19884,66,325,12.7,12.3,0.0,10.5,1,0,0,33,712,562,5258,3,108342,2,5.4,504,consumo,temporal,alquiler,superior,industria,no,0
PRE002864,30,2332,246,8070,39,223,9.6,8.6,8.0,16.8,0,2,0,27,633,659,4273,5,25076,3,5.3,404,negocio,funcionario,propiedad,superior,industria,si,0
PRE002865,56,3474,139,1000,42,26,0.7,0.7,8.9,12.4,2,1,0,7,775,719,1219,2,166260,0,2.0,762,estudios,autonomo,alquiler,superior,servicios,no,0
PRE002866,45,1114,1573,12369,63,212,19.0,7.9,0.4,0.8,1,1,0,8,773,491,6919,1,231584,0,9.7,916,vivienda,temporal,alquiler,medio,construccion,no,0
PRE002867,36,3287,2630,1000,52,21,0.6,0.4,3.5,13.9,2,2,1,15,492,601,5749,4,38661,2,8.4,1696,consumo,fijo,alquiler,basico,construccion,no,0
PRE002868,53,4434,443,1000,31,35,0.8,0.7,7.4,6.9,0,1,0,16,608,267,4047,3,135286,0,5.8,1203,vivienda,fijo,alquiler,basico,construccion,no,0
PRE002869,37,1916,1503,5098,65,85,4.4,2.5,1.6,10.9,4,2,0,0,582,597,-93,3,164112,1,5.1,1192,negocio,temporal,propiedad,medio,publico,si,0
PRE002870,36,2561,1062,14578,35,450,17.6,12.4,10.1,6.6,2,0,0,43,575,627,-272,2,73461,2,5.2,1547,negocio,fijo,hipoteca,medio,servicios,no,0
PRE002871,42,2327,1934,15671,92,184,7.9,4.3,7.1,7.4,1,0,0,5,625,424,4213,0,0,2,11.2,510,estudios,fijo,alquiler,superior,construccion,no,0
PRE002872,33,889,0,1418,70,22,2.5,2.5,9.1,10.6,0,1,0,25,801,482,7297,2,236932,3,5.5,618,coche,fijo,propiedad,superior,publico,no,0
PRE002873,49,976,599,1000,31,35,3.6,2.2,10.3,7.0,2,0,1,0,358,675,6056,3,40096,3,5.4,168,vivienda,autonomo,propiedad,basico,servicios,no,1
PRE002874,50,1342,227,9932,66,163,12.1,10.4,8.1,7.2,3,1,0,0,623,591,1201,2,90680,2,8.7,194,negocio,autonomo,alquiler,medio,servicios,no,0
PRE002875,44,2076,2830,30344,44,745,35.9,15.2,4.4,1.3,0,0,1,6,664,829,6602,2,0,2,14.1,943,estudios,fijo,alquiler,basico,publico,no,0
PRE002876,43,2159,915,18295,55,359,16.6,11.7,8.8,9.1,2,2,2,9,600,659,867,7,67834,2,11.6,1147,coche,temporal,alquiler,medio,servicios,no,0
PRE002877,57,1213,315,3401,11,334,27.5,21.8,9.3,2.9,0,0,1,9,613,563,5873,2,67227,2,11.7,684,coche,autonomo,propiedad,medio,servicios,no,0
PRE002878,47,2827,0,12439,48,280,9.9,9.9,4.8,9.3,1,0,0,19,622,545,-362,4,123353,0,10.9,1031,negocio,autonomo,propiedad,superior,construccion,si,0
PRE002879,32,1615,1126,1471,53,30,1.9,1.1,6.0,0.0,2,1,0,14,730,924,-2000,0,19476,3,2.0,779,estudios,temporal,alquiler,basico,agrario,si,0
PRE002880,31,3092,1128,16285,31,567,18.3,13.4,10.6,4.6,0,1,0,9,772,450,7684,1,0,0,2.3,306,consumo,temporal,alquiler,medio,publico,no,0
PRE002881,44,2070,0,28854,31,1005,48.5,48.5,5.5,11.8,1,0,0,0,631,745,13066,5,252672,0,13.4,1093,estudios,fijo,hipoteca,medio,industria,no,0
