id_parcela,ph_suelo,materia_organica_pct,carbono_organico_pct,nitrogeno_ppm,fosforo_ppm,potasio_ppm,calcio_ppm,magnesio_ppm,azufre_ppm,conductividad_electrica,cic,caliza_activa_pct,arcilla_pct,arena_pct,limo_pct,humedad_suelo_pct,capacidad_campo_pct,profundidad_suelo_cm,pendiente_pct,altitud_m,precipitacion_anual_mm,temp_media_c,temp_min_invierno_c,temp_max_verano_c,radiacion_anual,evapotranspiracion_mm,indice_aridez,orientacion,tipo_suelo
PAR000500,7.3,3.5,1.31,34,28,286,2071,334,16.9,0.85,25.3,1.9,3.0,48.9,15.2,33.5,44.2,136,14.0,798,734,12.7,7.7,33.6,1812,914,0.95,E,franco
PAR000501,5.1,3.6,1.1,35,27,163,300,287,13.1,0.98,21.2,1.6,34.1,29.3,5.0,24.4,35.0,111,0.0,119,677,16.2,3.5,31.7,1471,876,0.85,O,arcilloso
PAR000502,7.1,2.2,1.14,12,11,103,1492,177,11.3,1.41,17.1,12.5,23.0,38.5,42.6,20.2,55.0,73,8.3,362,768,18.2,5.6,43.7,1966,924,0.23,N,franco
PAR000503,6.1,4.2,0.64,45,32,293,2477,280,20.6,0.1,29.0,1.5,8.8,60.3,31.8,45.0,50.3,136,0.0,1205,859,14.1,9.1,36.8,1942,795,0.79,O,franco
PAR000504,6.5,3.3,0.87,34,28,255,2656,343,15.4,0.1,31.4,6.6,3.0,59.5,33.0,30.8,53.6,74,0.0,872,985,5.2,2.5,25.4,1742,779,0.75,S,arcilloso
PAR000505,8.6,1.9,2.44,6,2,71,300,138,32.1,1.99,12.8,12.8,36.4,24.5,30.7,9.6,37.3,60,22.3,99,150,18.1,-0.5,34.1,1590,935,0.33,E,arcilloso
PAR000506,7.2,2.6,1.6,26,11,160,872,40,19.6,2.12,8.7,13.0,34.5,23.9,41.3,25.9,50.1,83,4.4,494,351,15.6,3.7,35.3,1986,1107,0.63,O,franco
PAR000507,6.3,3.3,1.3,37,34,237,3221,568,5.1,0.54,30.8,0.8,31.2,58.6,33.4,36.0,55.0,99,9.2,777,824,10.3,10.3,34.6,1661,797,1.02,N,calcareo
PAR000508,7.6,2.1,2.08,2,2,167,734,192,14.1,1.19,26.2,8.9,41.2,38.2,39.0,7.6,42.5,33,13.3,244,551,16.8,2.6,33.6,1810,1235,0.71,S,calcareo
PAR000509,6.6,1.4,2.14,12,12,168,940,198,24.6,1.01,16.4,15.6,24.7,45.0,49.3,24.2,55.0,20,16.1,56,150,17.5,5.2,33.4,1712,865,0.41,O,calcareo
PAR000510,8.2,2.6,2.53,7,11,40,1323,142,21.8,2.89,18.4,22.8,47.2,33.9,16.8,5.0,42.1,29,15.9,335,532,19.9,-2.1,32.0,1419,1265,0.1,E,franco
PAR000511,5.0,2.8,2.66,29,32,287,941,163,7.4,0.1,23.5,0.3,35.3,37.2,5.0,24.7,25.9,23,0.0,206,1093,10.4,-0.8,33.1,1598,750,0.37,O,calcareo
PAR000512,9.0,3.7,2.04,20,6,86,614,161,19.5,1.15,9.9,19.9,45.2,43.1,35.2,5.0,33.5,22,27.3,178,150,19.6,-3.6,29.5,1614,1250,0.1,E,arcilloso
PAR000513,8.3,0.8,2.15,2,2,124,980,134,18.8,2.0,15.4,18.5,31.8,30.4,30.8,7.1,42.3,18,14.3,155,310,19.9,2.9,33.7,1757,973,0.42,N,arcilloso
PAR000514,5.5,3.7,0.1,32,29,349,1951,370,14.8,0.1,25.6,0.9,7.5,34.5,37.9,37.8,37.1,87,0.0,596,789,8.3,2.6,38.0,1566,838,1.31,E,franco
PAR000515,9.0,0.5,3.25,27,2,47,1227,156,16.7,1.97,26.1,13.5,37.2,42.5,11.6,12.6,36.7,32,17.1,456,249,20.5,-1.3,28.5,1287,1075,0.3,S,arcilloso
PAR000516,9.0,0.3,2.09,4,2,131,1751,224,29.9,1.4,24.0,17.8,49.2,43.7,22.0,5.0,44.1,24,29.6,133,471,15.0,-5.5,34.0,1458,1023,0.1,E,calcareo
PAR000517,5.9,2.9,1.84,31,22,224,379,279,10.3,0.1,15.6,6.7,36.0,54.4,5.0,20.7,29.9,127,5.6,0,793,18.2,-0.8,27.9,1721,871,1.03,N,franco
PAR000518,8.1,0.3,1.73,2,3,134,1498,164,21.4,1.88,22.4,18.3,28.8,28.6,7.9,6.4,28.4,15,18.5,404,610,15.9,-5.3,31.7,1885,999,0.66,E,arcilloso
PAR000519,6.4,3.0,1.43,37,22,164,300,218,4.3,0.1,12.8,3.1,19.7,44.4,5.9,25.7,29.9,80,5.4,0,673,13.7,6.8,27.7,1539,893,0.81,N,arenoso
PAR000520,8.1,2.4,2.17,6,2,46,1565,55,29.3,1.89,22.5,17.7,27.3,30.6,14.3,5.0,30.8,15,16.1,614,150,21.8,0.2,31.2,1606,1004,0.1,O,arcilloso
PAR000521,8.1,2.0,1.14,12,15,125,976,89,20.5,0.99,20.7,0.0,29.2,18.8,43.8,26.4,42.7,35,20.1,660,562,15.6,-1.8,44.2,1724,990,0.1,N,franco
PAR000522,7.6,2.6,3.15,13,15,186,919,40,12.1,2.02,21.5,11.4,28.1,47.1,38.8,5.0,54.6,15,16.7,538,533,21.3,-0.8,33.5,1933,990,0.36,S,arcilloso
PAR000523,8.2,0.5,2.32,27,5,87,2036,143,32.0,1.52,19.1,21.1,14.3,22.6,36.3,5.0,31.3,53,11.8,625,150,17.0,-4.4,24.8,1666,944,0.11,O,franco
PAR000524,8.6,1.1,2.32,11,10,40,804,159,22.4,1.3,18.0,23.2,36.4,17.3,19.5,9.2,30.1,27,20.9,465,420,15.8,-2.0,37.9,1242,1129,0.14,E,calcareo
PAR000525,5.5,3.7,1.72,23,42,241,300,164,9.1,0.53,5.7,8.5,35.8,26.2,5.0,31.5,23.4,103,1.5,6,1053,18.8,2.1,26.9,1272,907,0.84,E,arcilloso
PAR000526,8.2,0.3,2.19,2,7,116,1614,188,19.8,1.02,15.0,21.6,39.5,37.7,25.6,5.0,55.0,34,27.7,361,343,14.2,-1.7,31.8,1363,1164,0.37,E,franco
PAR000527,6.7,3.1,1.57,22,2,145,300,173,19.7,1.24,21.2,8.8,34.5,46.4,44.5,18.4,46.8,20,34.0,620,530,19.4,6.0,44.3,1945,919,0.56,N,calcareo
PAR000528,6.0,5.1,2.35,28,33,232,1040,292,2.0,0.48,15.0,0.0,44.5,21.6,5.0,27.1,33.6,54,7.1,0,867,16.0,6.7,31.3,1531,1027,0.59,N,franco
PAR000529,6.9,1.3,1.39,13,2,117,1310,131,9.5,1.99,17.0,11.4,12.7,55.0,35.6,11.3,38.0,56,10.8,927,150,21.6,1.4,37.1,1901,947,0.7,O,arenoso
PAR000530,6.2,5.6,0.19,47,25,233,1088,337,22.6,0.1,28.9,0.4,25.2,48.1,32.1,27.5,45.3,119,2.4,1036,812,9.9,2.4,32.3,1994,901,0.72,S,arenoso
PAR000531,6.6,2.8,1.94,16,15,175,908,208,12.3,0.63,20.2,9.2,26.9,17.8,38.3,17.5,44.3,75,26.8,373,473,16.3,3.4,40.4,1801,965,0.34,N,calcareo
PAR000532,5.6,3.9,1.07,35,33,278,2246,400,13.9,1.15,28.1,0.0,34.1,47.3,36.2,35.3,39.1,87,0.7,961,1014,13.6,7.2,33.1,2102,787,0.74,S,arenoso
PAR000533,6.1,4.2,1.19,25,28,252,538,386,9.0,0.2,24.6,8.6,29.7,62.2,5.0,28.4,18.0,91,9.9,24,772,17.1,2.9,25.8,1521,845,0.85,O,franco
PAR000534,7.4,2.8,2.44,14,2,175,515,120,20.8,1.89,22.6,16.4,44.4,28.7,29.8,16.7,45.6,36,22.1,567,361,18.1,3.0,35.1,1771,946,0.65,E,franco
PAR000535,6.7,1.8,1.15,8,18,119,300,97,20.0,1.45,13.9,14.9,26.3,22.9,35.5,14.3,53.8,49,9.8,645,378,17.9,-2.3,32.3,2027,1150,0.1,N,calcareo
PAR000536,6.0,3.1,1.2,35,29,254,1112,281,5.6,0.3,18.9,0.0,25.3,19.4,5.0,32.0,30.6,97,0.0,91,875,17.2,2.1,29.1,1413,1031,0.77,O,arcilloso
PAR000537,8.0,1.1,1.93,4,12,96,1094,233,33.1,1.42,14.9,16.9,24.7,6.4,6.0,16.4,41.6,86,26.7,226,597,15.4,-0.3,30.8,1869,1315,0.32,O,calcareo
PAR000538,5.7,4.8,2.73,39,28,268,869,250,7.1,0.96,16.1,2.6,30.2,44.2,5.0,22.0,20.0,90,5.8,380,915,18.4,-0.5,31.0,1270,771,0.77,O,arcilloso
PAR000539,7.9,0.3,1.54,15,15,40,1446,108,32.2,1.93,24.3,20.9,28.3,35.3,19.4,5.0,45.4,30,25.5,266,331,16.5,-1.9,34.8,1759,1018,0.41,O,franco
PAR000540,6.4,1.8,1.84,14,28,142,1073,98,17.5,1.37,13.8,15.1,30.7,23.2,42.0,18.9,55.0,36,20.4,141,505,21.6,-0.6,31.1,2200,1254,0.42,O,arenoso
PAR000541,6.1,4.7,0.89,40,31,254,3395,275,12.0,0.21,23.1,7.8,3.4,55.6,12.6,29.5,36.1,85,12.1,1041,725,11.2,6.7,37.4,2107,774,1.03,O,arenoso
PAR000542,5.2,5.6,0.79,39,16,221,3007,312,6.9,0.13,31.4,0.0,13.7,51.9,34.6,39.5,48.1,102,0.0,1080,576,15.8,6.8,31.2,1588,851,1.35,N,franco
PAR000543,7.9,1.2,2.23,8,2,147,825,70,18.3,1.38,10.0,25.2,36.9,42.7,10.6,10.1,33.7,26,19.5,617,154,17.9,1.9,29.5,1806,1167,0.1,S,calcareo
PAR000544,4.9,3.0,2.16,52,19,270,478,108,2.0,0.7,27.4,4.4,22.5,32.9,5.0,25.8,24.9,113,0.0,0,838,14.0,1.2,26.8,1512,712,0.99,E,franco
PAR000545,5.7,3.9,1.39,30,32,221,959,296,24.6,0.78,24.7,3.7,42.0,33.9,7.5,24.1,14.7,59,9.2,258,1079,14.3,5.6,31.0,1727,763,0.8,N,franco
PAR000546,9.0,1.4,2.3,7,9,50,1563,128,24.1,2.06,28.7,18.6,35.4,18.5,25.0,5.0,42.7,35,15.4,76,541,21.3,-0.0,33.3,1729,1350,0.56,O,arcilloso
PAR000547,7.6,0.7,1.95,2,4,163,382,114,29.3,1.71,14.9,16.0,47.2,32.3,18.1,8.5,35.8,15,22.4,285,464,23.9,-4.7,24.3,1686,1226,0.28,O,arenoso
PAR000548,7.6,1.4,0.67,30,14,124,584,109,9.6,2.96,19.7,12.5,21.6,23.1,46.2,17.5,55.0,37,19.0,320,268,20.1,4.6,33.8,2085,1088,0.61,S,arcilloso
PAR000549,5.9,3.9,1.54,38,30,193,3073,254,16.6,1.21,18.8,0.0,21.0,33.6,30.5,31.1,34.6,123,1.7,680,1056,11.4,8.5,34.9,1898,673,1.05,O,arenoso
PAR000550,6.5,5.2,0.8,28,34,285,2350,328,17.8,0.15,12.3,0.0,8.8,52.2,31.4,34.0,53.4,137,0.2,1138,941,13.0,5.3,37.4,2006,950,1.2,O,franco
PAR000551,5.9,3.7,1.97,44,32,209,300,164,2.0,1.02,11.8,5.9,20.1,38.0,5.0,21.9,32.1,92,2.3,148,885,19.0,7.8,25.4,1515,977,1.07,O,arcilloso
PAR000552,6.1,4.6,1.46,54,40,291,3265,434,13.3,0.91,22.4,0.0,11.6,75.8,19.8,31.8,36.6,78,6.8,967,874,11.7,5.0,28.4,2166,808,0.53,N,arcilloso
PAR000553,6.0,3.4,1.58,33,31,220,2517,446,16.0,0.1,15.9,8.7,3.0,34.8,37.3,38.9,41.6,107,5.8,658,791,12.5,4.4,34.5,1805,1009,1.04,N,franco
PAR000554,5.1,5.0,1.03,46,33,342,3314,459,11.5,1.49,22.1,2.8,12.9,72.4,27.9,31.8,40.3,39,8.4,887,622,13.5,7.8,38.6,1796,852,1.09,S,franco
PAR000555,8.4,2.3,2.21,27,12,89,1188,132,21.0,0.97,20.1,15.1,37.4,32.0,11.4,6.7,27.9,42,24.8,116,503,16.6,-0.4,30.6,1239,1011,0.36,N,arcilloso
PAR000556,5.7,4.8,1.99,32,26,284,1635,422,7.1,0.76,31.5,0.9,3.0,70.7,28.9,37.1,35.4,90,5.7,590,1076,12.9,8.5,31.1,1679,746,0.7,E,arcilloso
PAR000557,7.3,4.9,1.11,46,33,245,2979,476,14.9,1.56,23.5,3.4,9.1,66.3,34.4,36.2,30.6,87,0.0,783,1184,11.9,4.5,34.8,1896,950,0.63,O,franco
PAR000558,6.1,1.1,1.83,2,16,89,876,40,12.7,1.84,22.5,10.7,30.4,25.9,51.6,11.2,54.4,72,18.3,443,518,21.6,5.7,37.9,1861,888,0.69,S,calcareo
PAR000559,5.5,2.2,2.04,32,22,220,300,220,5.5,0.24,26.2,0.7,32.2,37.2,5.0,24.4,21.1,147,0.0,123,544,16.8,3.3,22.5,1650,940,0.8,O,franco
PAR000560,5.5,3.7,1.41,31,25,205,373,241,5.6,1.24,10.6,0.0,24.5,18.6,5.0,27.2,25.0,99,0.0,381,616,23.1,-2.3,37.1,1510,818,1.0,O,franco
PAR000561,6.2,2.7,0.82,39,37,245,3047,310,8.2,0.34,29.3,1.5,11.7,49.9,52.5,38.4,32.3,108,0.0,729,1300,8.8,11.1,40.6,1936,500,1.04,N,franco
PAR000562,6.4,4.1,1.66,39,27,229,1578,366,15.8,0.49,27.3,0.0,4.6,67.3,34.8,27.3,31.5,89,10.7,882,976,10.0,9.0,28.9,2200,960,0.98,O,arenoso
PAR000563,4.8,5.3,2.66,25,29,182,476,131,13.5,0.1,10.4,0.0,22.3,15.3,5.0,24.0,18.9,36,0.0,314,889,17.5,7.3,29.0,1736,875,0.97,O,franco
PAR000564,5.7,2.9,1.7,41,27,203,300,156,9.7,1.27,13.0,1.5,17.3,31.9,5.0,44.3,14.6,48,4.9,0,750,16.8,5.4,27.5,1392,889,1.0,S,arcilloso
PAR000565,5.6,4.7,0.85,28,30,244,3538,357,13.1,0.1,23.2,0.3,3.1,90.0,17.5,32.0,40.7,67,1.5,888,880,9.6,6.0,28.5,2112,922,1.13,O,arcilloso
PAR000566,9.0,1.3,2.86,18,4,106,1338,58,20.0,0.88,21.4,23.9,28.6,33.1,26.0,21.2,42.5,23,12.2,72,413,24.8,-0.2,22.3,1487,1243,0.65,E,franco
PAR000567,6.5,3.8,1.76,32,37,312,3177,364,20.1,0.66,33.0,0.0,9.7,66.6,20.7,24.7,44.1,91,9.4,621,724,13.6,5.6,32.5,1851,772,0.94,S,arenoso
PAR000568,6.8,0.9,2.12,2,14,121,1007,244,26.4,1.73,21.7,13.3,40.2,58.9,22.7,15.6,55.0,72,12.8,448,150,17.4,-1.6,40.1,1874,968,0.5,E,calcareo
PAR000569,9.0,0.3,1.61,12,2,40,1201,207,21.4,2.4,16.2,17.6,34.8,20.7,26.7,5.0,33.2,15,23.4,0,154,22.3,-0.7,26.6,1723,1208,0.18,N,arcilloso
PAR000570,7.9,2.0,1.54,22,2,184,965,192,22.7,1.92,22.5,0.0,26.6,35.5,42.6,21.3,43.1,24,16.2,1120,568,15.1,-3.0,42.9,1842,1046,0.3,N,arcilloso
PAR000571,8.5,0.3,2.28,12,8,135,720,109,30.1,1.7,10.0,21.2,33.5,19.1,16.9,7.9,50.2,15,13.7,261,268,22.5,1.0,32.8,1663,1252,0.1,E,arenoso
PAR000572,6.1,4.3,1.07,39,28,249,2717,274,11.4,0.98,19.8,8.4,20.9,65.0,37.7,40.4,47.3,78,2.8,965,561,9.5,8.0,27.9,1696,840,0.72,E,franco
PAR000573,7.9,1.4,2.12,17,19,52,777,164,27.8,1.65,24.8,20.1,34.9,32.4,27.8,22.7,32.8,66,33.5,396,321,18.9,-5.1,28.3,1527,991,0.3,N,calcareo
PAR000574,6.1,1.3,2.52,30,20,215,709,229,2.0,1.1,14.1,7.0,14.1,34.4,8.5,38.2,24.7,98,9.2,683,585,20.8,6.0,31.5,1487,796,0.62,O,calcareo
PAR000575,8.1,0.5,3.26,3,14,67,496,219,22.3,2.4,23.6,12.2,37.3,34.6,24.4,6.4,26.8,52,38.1,236,317,16.4,0.4,32.4,1669,1134,0.58,N,arcilloso
PAR000576,6.6,2.9,1.41,47,28,260,2436,328,17.0,0.69,19.6,4.3,12.9,59.6,49.0,37.9,46.4,116,7.3,976,1133,9.5,7.6,31.3,2103,734,1.04,S,franco
PAR000577,7.8,0.6,0.65,19,3,40,794,40,17.1,1.69,16.1,8.7,21.0,21.7,20.7,8.5,52.9,77,14.8,517,644,17.5,1.0,35.9,1646,1241,0.64,O,arenoso
PAR000578,8.5,1.3,1.71,6,20,102,1797,257,28.5,0.98,17.6,23.0,35.6,34.8,22.5,21.4,31.8,15,10.1,33,756,20.5,-3.7,31.1,1671,1265,0.51,E,franco
PAR000579,7.9,1.3,1.53,2,4,102,1592,40,25.2,1.24,10.5,13.2,44.6,14.6,12.7,7.8,38.2,15,13.5,586,176,19.3,1.2,21.6,1546,1235,0.1,E,calcareo
PAR000580,7.6,1.0,1.22,21,10,77,727,161,19.0,0.89,24.4,20.7,13.2,17.7,32.9,17.7,51.3,33,17.4,403,391,19.7,-2.1,36.1,2035,1200,0.51,S,arenoso
PAR000581,5.8,4.2,0.92,32,35,321,2097,462,10.1,0.69,30.7,5.8,18.2,51.9,23.3,29.2,41.3,69,5.1,789,728,9.1,9.0,35.9,1836,597,1.12,O,franco
PAR000582,4.7,6.3,1.72,29,25,168,696,244,6.7,0.1,16.9,1.6,32.0,50.5,5.0,27.0,31.3,84,0.0,87,723,16.9,0.8,31.3,1286,756,0.97,S,franco
PAR000583,6.1,5.1,1.03,40,44,179,3345,428,11.7,0.1,25.9,1.6,3.0,73.3,26.6,44.2,54.9,104,0.0,899,789,10.9,2.7,29.4,2042,677,0.81,E,franco
PAR000584,8.5,0.9,2.26,15,9,40,991,204,20.4,1.62,24.0,30.0,41.2,11.6,22.5,19.6,31.1,22,27.3,76,212,20.4,0.9,37.6,1591,868,0.13,E,arcilloso
PAR000585,5.7,3.9,3.25,35,21,223,300,347,10.3,1.42,17.6,4.1,39.6,42.6,5.0,23.9,13.6,32,20.4,0,975,11.1,3.8,30.1,1491,858,0.88,E,arcilloso
PAR000586,9.0,1.0,1.9,17,9,127,1652,123,30.7,2.16,21.7,13.1,42.1,30.4,20.0,15.2,38.0,15,7.6,295,186,18.5,-0.9,37.1,1492,1237,0.37,N,arenoso
PAR000587,7.4,2.4,1.2,18,10,69,712,76,26.1,1.09,15.7,4.3,29.8,49.7,43.2,7.4,51.2,15,19.5,190,373,18.0,-1.6,30.0,1576,1079,0.11,S,arenoso
PAR000588,6.5,5.5,1.42,31,30,230,2367,395,13.9,0.1,20.2,0.0,18.0,32.9,29.8,27.9,43.8,122,6.0,604,1158,7.3,5.6,25.1,1500,645,0.67,O,calcareo
PAR000589,6.4,4.8,1.36,48,42,287,2264,347,21.4,0.1,18.5,0.0,29.4,59.3,21.8,38.5,53.0,127,6.2,505,947,9.0,9.2,39.0,2099,630,1.06,S,arenoso
PAR000590,6.9,4.4,0.68,32,33,244,3155,292,12.8,0.49,24.5,13.1,19.0,52.7,20.3,44.9,51.6,134,4.9,1077,949,7.7,8.5,29.9,1961,1070,1.35,S,arcilloso
PAR000591,7.7,2.0,1.95,26,9,133,974,40,24.2,1.09,21.1,10.8,18.4,30.1,33.8,13.5,48.3,48,6.2,351,702,12.0,-4.0,33.0,1864,891,0.57,S,arenoso
PAR000592,7.8,3.8,1.13,14,2,49,1256,178,24.3,2.69,16.8,25.9,44.5,32.1,25.2,16.5,25.2,15,30.2,544,558,17.9,-6.0,26.8,1708,1085,0.36,O,arcilloso
PAR000593,6.2,3.9,2.58,44,21,141,300,222,10.4,0.63,21.3,4.2,46.6,42.3,5.0,30.0,20.0,118,4.6,62,725,19.2,0.1,22.2,1316,739,0.59,O,arcilloso
PAR000594,8.6,0.3,1.54,2,7,139,1178,50,22.2,2.18,23.7,11.1,36.0,48.1,27.6,6.9,29.3,41,18.0,237,461,18.7,1.7,29.9,1771,928,0.19,N,arcilloso
PAR000595,4.8,2.7,1.7,49,20,231,496,268,14.7,1.5,19.3,4.6,16.6,42.9,5.0,26.4,29.5,95,4.8,113,744,13.9,-0.5,29.3,1709,1078,0.74,S,calcareo
PAR000596,8.0,2.0,1.64,10,7,165,1439,164,28.7,1.89,22.0,13.7,20.8,24.3,34.7,6.2,19.0,66,15.6,369,316,20.1,0.8,34.4,1778,1314,0.31,N,arcilloso
PAR000597,7.8,1.6,1.37,13,15,119,851,127,19.2,1.56,23.7,8.9,36.8,33.2,46.3,13.7,55.0,54,14.1,465,579,18.6,-1.1,32.6,1673,1105,0.6,N,franco
PAR000598,9.0,0.7,2.19,8,11,57,300,200,23.1,2.33,15.6,13.1,37.7,28.8,22.2,13.2,41.5,110,27.6,220,281,19.5,-3.4,35.9,1814,1015,0.46,E,franco
PAR000599,7.7,0.3,2.28,14,2,63,757,100,11.5,2.19,11.0,10.5,43.8,33.5,16.9,17.3,36.9,28,21.9,544,337,22.6,-2.5,31.9,1456,1177,0.22,E,arcilloso
PAR000600,7.0,1.6,1.6,10,14,175,1234,40,18.6,1.17,14.3,6.7,24.0,45.7,45.3,27.2,51.2,67,22.7,712,494,23.1,-0.0,37.1,1995,880,0.34,E,franco
PAR000601,5.7,3.3,1.66,31,32,254,2162,465,9.6,0.39,14.9,0.0,27.4,50.3,34.1,24.0,52.2,104,0.6,684,752,11.6,5.7,39.8,1894,549,1.22,O,arenoso
PAR000602,5.5,2.9,2.26,22,26,205,1286,157,5.4,0.61,17.7,0.3,11.3,48.4,5.0,26.4,22.8,98,0.0,374,947,13.9,3.3,36.3,1722,992,0.64,E,calcareo
PAR000603,7.2,2.1,2.02,27,5,162,1454,189,25.4,1.75,9.4,14.7,24.1,36.1,23.2,5.0,43.5,15,12.5,432,503,16.6,1.2,29.9,1856,1260,0.35,E,calcareo
PAR000604,6.1,4.1,0.71,40,31,258,1843,358,11.6,0.32,26.2,10.0,16.1,64.4,26.8,41.3,47.7,89,17.4,1014,1187,8.9,7.8,34.0,1953,799,0.8,E,franco
PAR000605,5.0,3.6,2.03,37,20,205,300,140,12.1,0.3,21.9,0.0,31.7,43.8,5.8,22.2,29.4,80,4.5,329,697,20.7,2.4,29.3,1511,676,0.98,O,arenoso
PAR000606,5.6,3.0,2.64,43,24,229,665,163,5.4,0.1,9.7,0.0,19.8,49.5,5.0,31.3,26.1,52,12.4,32,797,13.8,3.2,29.3,1730,884,0.93,O,franco
PAR000607,4.9,4.9,1.8,48,31,243,300,346,10.8,0.72,22.5,1.1,37.2,27.8,5.0,23.3,27.7,94,15.8,88,672,17.2,3.0,28.4,1290,918,0.96,S,calcareo
PAR000608,7.2,1.5,1.65,25,17,118,373,110,17.3,1.53,26.5,12.0,20.9,26.3,42.5,21.4,55.0,38,26.2,191,571,16.8,2.2,39.9,2080,723,0.71,O,arcilloso
PAR000609,6.4,4.6,0.86,34,27,249,2496,362,7.8,0.32,26.3,3.7,16.2,45.7,34.3,27.3,45.8,64,0.0,936,1072,11.9,14.5,36.1,1637,977,0.94,N,franco
PAR000610,6.3,1.5,1.96,32,19,159,1243,165,19.3,2.17,18.5,17.4,23.6,43.8,39.5,17.1,46.1,19,15.4,831,745,15.3,1.8,42.4,1667,1025,0.48,S,arenoso
PAR000611,7.7,2.1,0.81,7,9,75,1143,97,12.3,0.77,29.2,4.7,50.1,23.2,20.9,20.9,44.5,15,12.7,770,436,17.2,6.7,32.3,1581,891,0.1,N,arenoso
PAR000612,9.0,1.6,2.75,2,3,92,300,40,23.9,1.36,19.2,18.9,50.6,14.3,26.8,5.0,46.5,15,26.1,123,377,18.5,-8.8,28.9,1462,951,0.1,S,calcareo
PAR000613,7.8,2.2,1.03,19,16,93,1016,166,18.0,1.5,18.8,12.9,47.3,35.4,27.1,11.3,45.5,107,23.1,78,613,15.2,1.8,42.8,2200,966,0.82,S,franco
PAR000614,8.4,0.8,2.78,2,11,118,928,96,29.8,2.02,26.0,20.5,32.9,35.8,19.5,13.1,46.1,50,17.2,552,495,18.3,3.0,30.1,1137,1174,0.62,S,arcilloso
PAR000615,5.1,4.5,0.1,25,35,303,2342,328,14.7,0.96,25.7,10.2,5.2,62.1,29.8,31.4,40.1,107,0.0,1069,471,16.3,9.5,33.8,1700,981,1.48,S,arenoso
PAR000616,5.8,4.0,0.1,44,30,274,2079,245,16.0,0.86,28.3,0.0,36.5,85.4,33.0,25.4,40.4,36,1.2,850,676,15.0,3.8,27.3,1816,847,0.76,N,franco
PAR000617,5.9,3.7,0.52,33,26,273,2248,282,18.9,0.1,27.5,10.1,18.8,69.7,30.4,41.9,39.0,150,9.8,790,1019,8.9,8.5,35.6,1783,878,1.08,O,franco
PAR000618,7.7,1.0,2.16,18,23,92,1121,215,23.9,1.39,14.1,20.5,33.8,38.3,30.4,12.1,48.1,43,10.4,428,602,19.1,0.5,34.4,1621,1172,0.49,S,calcareo
PAR000619,7.3,2.4,0.91,31,16,143,1353,40,11.9,1.32,15.1,3.1,29.4,53.7,35.1,17.3,41.5,34,14.0,436,538,16.8,-1.1,37.4,1887,1086,0.33,N,calcareo
PAR000620,6.1,5.2,2.38,48,31,251,300,425,23.0,0.71,21.4,0.7,29.8,22.4,5.0,37.7,20.2,119,15.4,0,713,17.3,4.5,30.5,1852,970,0.54,O,arcilloso
PAR000621,5.4,4.9,2.44,30,32,241,540,227,11.0,0.79,6.1,0.0,36.2,39.0,5.0,26.4,21.7,81,11.8,292,560,18.0,5.8,25.8,1555,729,1.12,S,franco
PAR000622,8.3,1.2,1.72,27,16,84,420,216,25.6,2.36,24.4,10.6,18.1,35.4,16.4,7.4,39.1,17,17.9,162,414,22.2,-3.2,34.5,1939,1175,0.22,E,franco
PAR000623,5.8,4.4,1.13,37,22,250,2128,439,24.0,0.58,25.1,0.0,26.8,70.5,34.5,31.0,38.5,87,0.9,982,836,8.9,8.9,39.4,1907,1070,0.87,S,arenoso
PAR000624,9.0,2.1,2.35,2,6,41,1418,303,29.2,2.01,17.3,20.7,33.3,24.3,26.5,5.0,35.5,15,19.2,474,588,19.1,-3.9,34.8,1780,1013,0.1,S,arcilloso
PAR000625,7.8,1.6,1.13,11,20,111,871,210,22.7,1.4,14.9,9.4,12.5,41.1,33.8,18.0,47.8,30,9.3,0,510,19.5,5.1,44.3,2049,1112,0.64,S,calcareo
PAR000626,8.4,2.5,0.5,8,8,51,1853,112,19.5,0.41,24.5,10.2,15.1,42.5,38.4,12.1,52.1,15,22.4,354,539,15.4,-1.4,30.9,1813,1060,0.36,O,arcilloso
PAR000627,6.3,5.2,1.42,40,26,247,3082,343,21.4,0.33,24.7,1.3,18.5,82.3,28.7,34.9,53.8,110,5.8,1265,1000,13.7,4.9,33.8,2117,985,1.0,N,arenoso
PAR000628,7.4,1.0,1.05,9,7,83,675,68,16.2,1.13,23.7,14.5,34.2,32.4,43.7,15.2,48.0,54,0.0,764,449,19.2,3.3,38.1,1603,954,0.24,E,arenoso
PAR000629,6.1,4.7,2.04,51,37,311,2004,350,20.1,0.1,24.0,0.0,14.4,56.4,44.2,30.8,32.8,66,1.2,556,770,9.7,10.6,30.3,1981,902,0.91,E,franco
PAR000630,8.9,2.1,2.26,3,12,82,1550,134,34.8,2.61,20.7,20.3,50.1,29.2,24.1,16.3,36.1,56,12.3,0,493,20.6,-4.8,35.6,1942,1386,0.52,S,arcilloso
PAR000631,6.0,5.3,0.59,36,31,273,2049,322,11.9,0.32,19.4,4.1,27.2,48.7,23.9,41.5,36.8,66,0.0,849,608,11.3,9.4,32.0,2097,921,0.93,E,franco
PAR000632,6.1,3.9,0.16,27,39,226,2627,419,6.5,1.21,22.4,0.0,3.0,65.7,23.8,39.7,34.8,105,10.8,1284,716,11.5,7.7,28.1,1591,1070,1.08,O,arenoso
